ACCT_NUM,SEC_CUSIP,AS_OF_DT,UNITS,MKT_PRC,MKT_VAL,COST_BASIS,UNRLZD_GL,CCY
C-877572,231YV2STN,2024-12-31,7020.0,173.3514,1216926.83,2166309.37,-949382.54,USD
C-877572,IHX74D0GJ,2024-12-31,1423.0,350.838,499242.47,48361.79,450880.68,USD
C-877572,G10UR5L8A,2024-12-31,4888.0,205.2683,1003351.45,729486.16,273865.29,USD
C-877572,9RIVH6T1N,2024-12-31,5518.0,65.9321,363813.33,1633375.49,-1269562.16,USD
C-877572,O4IZASNWY,2024-12-31,3267.0,28.3408,92589.39,627021.58,-534432.19,USD
C-877572,8V1ZOCFI4,2024-12-31,5867.0,86.4639,507283.7,875770.84,-368487.14,USD
C-877572,SYGJJFGJK,2024-12-31,7991.0,138.7282,1108577.05,1920399.92,-811822.87,USD
C-877572,7ZRWQEAO4,2024-12-31,7382.0,121.3169,895561.36,691300.03,204261.33,USD
C-877572,IOGXPBWHV,2024-12-31,4731.0,36.8577,174373.78,1355205.96,-1180832.18,USD
C-877572,HKZ2U2TNH,2024-12-31,4539.0,496.627,2254189.95,1478370.12,775819.83,USD
C-877572,5SXVWVM4W,2024-12-31,1963.0,474.0197,930500.67,376104.41,554396.26,USD
C-877572,8RHNUXORZ,2024-12-31,7131.0,310.5324,2214406.54,1526035.38,688371.16,USD
C-877572,CB1KJTGQ0,2024-12-31,83.0,109.0474,9050.93,23324.23,-14273.3,USD
C-877572,E13N3BZT9,2024-12-31,5442.0,299.327,1628937.53,1849315.48,-220377.95,USD
C-334053,NF4ZW9XA3,2024-12-31,1527.0,372.9962,569565.2,625836.67,-56271.47,USD
C-334053,FZNBQH7M3,2024-12-31,5430.0,292.741,1589583.63,251059.35,1338524.28,USD
C-334053,RIPZIM6CF,2024-12-31,6583.0,361.0511,2376799.39,863151.67,1513647.72,USD
C-334053,JRNY20479,2024-12-31,5842.0,425.5658,2486155.4,2233989.66,252165.74,USD
C-334053,V0E38DALY,2024-12-31,2371.0,438.769,1040321.3,258297.69,782023.61,USD
C-334053,QPGB7R3OC,2024-12-31,6866.0,358.7077,2462887.07,2440254.82,22632.25,USD
C-334053,SRCBPLJD8,2024-12-31,2410.0,407.745,982665.45,699467.09,283198.36,USD
C-334053,N1W1HT7PZ,2024-12-31,5316.0,292.9771,1557466.26,1312060.51,245405.75,USD
C-334053,C5WI6FQJJ,2024-12-31,3700.0,73.0118,270143.66,1452064.74,-1181921.08,USD
C-334053,DWB2BNE6L,2024-12-31,6417.0,158.6174,1017847.86,1736842.88,-718995.02,USD
C-334053,BCPPVOHSM,2024-12-31,6004.0,174.8093,1049555.04,1064099.7,-14544.66,USD
C-334053,BA75UUZPE,2024-12-31,7199.0,254.79,1834233.21,1028421.93,805811.28,USD
C-334053,2W37D4IVS,2024-12-31,3963.0,47.1681,186927.18,1420707.5,-1233780.32,USD
C-334053,7UWW5WFCP,2024-12-31,5933.0,315.5232,1871999.15,1222508.08,649491.07,USD
C-334053,ENLK8AGS6,2024-12-31,4580.0,163.0859,746933.42,648563.83,98369.59,USD
C-334053,MBR5XQT4P,2024-12-31,11411.0,277.7329,3169210.12,1967656.18,1201553.94,USD
C-334053,G02U1G463,2024-12-31,7797.0,92.7949,723521.84,1994918.23,-1271396.39,USD
C-334053,OD9R7ANQJ,2024-12-31,7629.0,165.1842,1260190.26,1935810.97,-675620.71,USD
C-334053,QZPNIQFG5,2024-12-31,2735.0,83.3215,227884.3,1137545.99,-909661.69,USD
C-334053,BPT11F9I6,2024-12-31,4729.0,234.5109,1109002.05,732595.0,376407.05,USD
C-334053,9RIVH6T1N,2024-12-31,1702.0,65.9321,112216.43,617336.69,-505120.26,USD
C-334053,JSRD9Q46N,2024-12-31,7324.0,144.1999,1056120.07,1708930.46,-652810.39,USD
C-334053,WZC4XL996,2024-12-31,4945.0,142.7391,705844.85,1823918.96,-1118074.11,USD
C-334053,5SXVWVM4W,2024-12-31,1617.0,474.0197,766489.85,230077.7,536412.15,USD
C-334053,8RHNUXORZ,2024-12-31,6391.0,310.5324,1984612.57,1715217.57,269395.0,USD
C-809570,EP7Y6WKTA,2024-12-31,5619.0,137.8821,774759.52,753391.3,21368.22,USD
C-809570,WZS3T60RJ,2024-12-31,10488.0,166.5542,1746820.45,1714329.44,32491.01,USD
C-809570,JRNY20479,2024-12-31,4044.0,425.5658,1720988.1,763003.73,957984.37,USD
C-809570,13JCAT9MX,2024-12-31,88.0,22.7974,2006.17,10991.87,-8985.7,USD
C-809570,KQ1UYMRLR,2024-12-31,3328.0,246.2162,819407.51,1198241.08,-378833.57,USD
C-809570,ZQAKOIXNT,2024-12-31,4307.0,250.6117,1079384.59,1746580.7,-667196.11,USD
C-809570,3U1GSPK9P,2024-12-31,8046.0,259.9977,2091941.49,2205381.2,-113439.71,USD
C-809570,N1W1HT7PZ,2024-12-31,6023.0,292.9771,1764601.07,1080553.86,684047.21,USD
C-809570,J2O7S3KKV,2024-12-31,673.0,332.8829,224030.19,309659.14,-85628.95,USD
C-809570,C5WI6FQJJ,2024-12-31,4280.0,73.0118,312490.5,705644.03,-393153.53,USD
C-809570,YFPMVXPJ4,2024-12-31,3782.0,396.2015,1498434.07,1567269.88,-68835.81,USD
C-809570,0FODRO8BN,2024-12-31,2421.0,274.8063,665306.05,134477.11,530828.94,USD
C-809570,PXNF7C3DD,2024-12-31,3362.0,303.409,1020061.06,614580.02,405481.04,USD
C-809570,UVULEMX15,2024-12-31,5663.0,79.6971,451324.68,635907.39,-184582.71,USD
C-809570,3493WXA73,2024-12-31,2311.0,400.0453,924504.69,657419.18,267085.51,USD
C-809570,BA75UUZPE,2024-12-31,589.0,254.79,150071.31,113798.51,36272.8,USD
C-809570,2W37D4IVS,2024-12-31,4468.0,47.1681,210747.07,1363260.07,-1152513.0,USD
C-809570,U80B6UGVS,2024-12-31,7121.0,382.7205,2725352.68,1968674.36,756678.32,USD
C-809570,349DXBZ9S,2024-12-31,4264.0,480.8025,2050141.86,319051.9,1731089.96,USD
C-809570,YSAL8M1G9,2024-12-31,503.0,36.3776,18297.93,182872.69,-164574.76,USD
C-809570,MMX3Y9RGE,2024-12-31,4786.0,104.913,502113.62,1395410.35,-893296.73,USD
C-809570,5COZROOUE,2024-12-31,3750.0,385.1646,1444367.25,1673659.92,-229292.67,USD
C-809570,FFLZM764J,2024-12-31,9331.0,408.8894,3815346.99,3612286.43,203060.56,USD
C-809570,WWDXVUGW6,2024-12-31,1905.0,466.5678,888811.66,654447.32,234364.34,USD
C-809570,1NOUHTCS1,2024-12-31,5623.0,95.2931,535833.1,1594315.82,-1058482.72,USD
C-809570,VEDN9UNFV,2024-12-31,5673.0,454.936,2580851.93,2251715.31,329136.62,USD
C-809570,2G05KBKV7,2024-12-31,4945.0,430.4931,2128788.38,730886.0,1397902.38,USD
C-809570,9TR74QGEF,2024-12-31,10979.0,248.3054,2726144.99,1852629.99,873515.0,USD
C-809570,231YV2STN,2024-12-31,9327.0,173.3514,1616848.51,3450057.17,-1833208.66,USD
C-809570,36HTF4PYZ,2024-12-31,8317.0,215.6808,1793817.21,2022312.93,-228495.72,USD
C-809570,YUBMXNSZO,2024-12-31,5893.0,133.8173,788585.35,934069.9,-145484.55,USD
C-809570,9RIVH6T1N,2024-12-31,4704.0,65.9321,310144.6,1559423.42,-1249278.82,USD
C-809570,ZR7TXCB48,2024-12-31,3128.0,110.1061,344411.88,1024682.1,-680270.22,USD
C-809570,O4IZASNWY,2024-12-31,2735.0,28.3408,77512.09,670083.02,-592570.93,USD
C-809570,RATATJ9A3,2024-12-31,2205.0,386.7892,852870.19,421660.13,431210.06,USD
C-809570,IZK3C9XBO,2024-12-31,5047.0,265.1491,1338207.51,1098728.39,239479.12,USD
C-809570,WZC4XL996,2024-12-31,9103.0,142.7391,1299354.03,1503347.76,-203993.73,USD
C-809570,1F90S9BP4,2024-12-31,4318.0,113.0566,488178.4,1095470.25,-607291.85,USD
C-809570,7ZRWQEAO4,2024-12-31,5531.0,121.3169,671003.77,1715102.74,-1044098.97,USD
C-809570,B8Z3V6DIX,2024-12-31,6106.0,428.3974,2615794.52,1915988.5,699806.02,USD
C-809570,9YO18PAJS,2024-12-31,7278.0,337.3178,2454998.95,1053744.54,1401254.41,USD
C-809570,FLQHRRPZL,2024-12-31,11641.0,396.7973,4619117.37,3190150.61,1428966.76,USD
C-809570,IOGXPBWHV,2024-12-31,6543.0,36.8577,241159.93,2003306.26,-1762146.33,USD
C-809570,HKZ2U2TNH,2024-12-31,3237.0,496.627,1607581.6,1043773.41,563808.19,USD
C-719176,L1CQ99CHJ,2024-12-31,3904.0,63.2187,246805.8,850198.54,-603392.74,USD
C-719176,R64DPJA1W,2024-12-31,2232.0,92.9838,207539.84,608151.7,-400611.86,USD
C-719176,EL6246HID,2024-12-31,5400.0,408.3913,2205313.02,1704161.61,501151.41,USD
C-719176,XOKC1MSY4,2024-12-31,4349.0,61.8965,269187.88,402344.74,-133156.86,USD
C-719176,6GBPS3Y70,2024-12-31,7157.0,288.9028,2067677.34,725021.01,1342656.33,USD
C-719176,EP7Y6WKTA,2024-12-31,1657.0,137.8821,228470.64,51838.91,176631.73,USD
C-719176,4COWGZRIX,2024-12-31,8682.0,57.794,501767.51,2300118.65,-1798351.14,USD
C-719176,WZS3T60RJ,2024-12-31,6004.0,166.5542,999991.42,968967.04,31024.38,USD
C-719176,JRNY20479,2024-12-31,6568.0,425.5658,2795116.17,1867723.75,927392.42,USD
C-719176,V0E38DALY,2024-12-31,5107.0,438.769,2240793.28,1462785.76,778007.52,USD
C-719176,HV3IZKY22,2024-12-31,7551.0,209.7292,1583665.19,2202924.9,-619259.71,USD
C-719176,KQ1UYMRLR,2024-12-31,9327.0,246.2162,2296458.5,3231754.16,-935295.66,USD
C-719176,XFGCAQVKI,2024-12-31,4082.0,429.0361,1751325.36,1258660.27,492665.09,USD
C-719176,DJE153A5Q,2024-12-31,6656.0,471.1659,3136080.23,1768283.25,1367796.98,USD
C-719176,8LD4D6AF5,2024-12-31,3014.0,302.8683,912845.06,919047.97,-6202.91,USD
C-719176,2JWOCLYT8,2024-12-31,2667.0,367.2708,979511.22,1119867.2,-140355.98,USD
C-719176,BCW790PDW,2024-12-31,4050.0,278.1124,1126355.22,1345525.5,-219170.28,USD
C-719176,DNMKZA3OA,2024-12-31,2547.0,241.4811,615052.36,715720.9,-100668.54,USD
C-719176,QW7LVXWQZ,2024-12-31,1250.0,333.1926,416490.75,549519.38,-133028.63,USD
C-719176,0FODRO8BN,2024-12-31,4473.0,274.8063,1229208.58,657108.07,572100.51,USD
C-719176,TNQFLL7V5,2024-12-31,4914.0,395.9965,1945926.8,1715792.26,230134.54,USD
C-719176,BA75UUZPE,2024-12-31,5604.0,254.79,1427843.16,1424729.9,3113.26,USD
C-719176,349DXBZ9S,2024-12-31,3763.0,480.8025,1809259.81,761972.8,1047287.01,USD
C-719176,2SPFHV5BR,2024-12-31,5929.0,394.7842,2340675.52,1974931.11,365744.41,USD
C-719176,T0SEKKBP2,2024-12-31,5869.0,24.9586,146482.02,1502720.09,-1356238.07,USD
C-719176,4RTWUZKAM,2024-12-31,6192.0,453.3351,2807050.94,1709303.47,1097747.47,USD
C-719176,KBHB7S9TJ,2024-12-31,5087.0,329.9443,1678426.65,1629349.25,49077.4,USD
C-719176,RR7S20CV3,2024-12-31,8851.0,349.826,3096309.93,3166567.36,-70257.43,USD
C-719176,DLKQZFPQ0,2024-12-31,3860.0,367.1274,1417111.76,1159711.68,257400.08,USD
C-719176,ZHWY9HECG,2024-12-31,4979.0,157.3925,783657.26,1748928.6,-965271.34,USD
C-719176,SEHE2ATN2,2024-12-31,5546.0,412.9997,2290496.34,811823.92,1478672.42,USD
C-719176,1NOUHTCS1,2024-12-31,8075.0,95.2931,769491.78,1226777.37,-457285.59,USD
C-719176,R8KK791ZY,2024-12-31,5916.0,91.9381,543905.8,2004188.06,-1460282.26,USD
C-719176,M72JEYN93,2024-12-31,6126.0,55.6966,341197.37,2281530.64,-1940333.27,USD
C-719176,2G05KBKV7,2024-12-31,2943.0,430.4931,1266941.19,873889.12,393052.07,USD
C-719176,E6KWHEF0V,2024-12-31,3014.0,132.6526,399814.94,437104.45,-37289.51,USD
C-719176,36HTF4PYZ,2024-12-31,3861.0,215.6808,832743.57,1397146.57,-564403.0,USD
C-719176,IHX74D0GJ,2024-12-31,2913.0,350.838,1021991.09,204870.68,817120.41,USD
C-719176,G10UR5L8A,2024-12-31,3007.0,205.2683,617241.78,699627.11,-82385.33,USD
C-719176,T7M1R00Q0,2024-12-31,5647.0,321.9604,1818110.38,880126.61,937983.77,USD
C-719176,O4IZASNWY,2024-12-31,8655.0,28.3408,245289.62,2366818.73,-2121529.11,USD
C-719176,WZC4XL996,2024-12-31,2966.0,142.7391,423364.17,629728.83,-206364.66,USD
C-719176,6YUJ7YKTX,2024-12-31,2784.0,429.3628,1195346.04,383244.6,812101.44,USD
C-719176,8O1BJ9RM7,2024-12-31,4598.0,37.3283,171635.52,1725602.7,-1553967.18,USD
C-719176,MD7Q1DDPU,2024-12-31,1872.0,453.5391,849025.2,409546.99,439478.21,USD
C-719176,SYGJJFGJK,2024-12-31,1660.0,138.7282,230288.81,527126.09,-296837.28,USD
C-719176,B8Z3V6DIX,2024-12-31,1573.0,428.3974,673869.11,538743.22,135125.89,USD
C-719176,VYLIENFNV,2024-12-31,3359.0,379.3014,1274073.4,646890.77,627182.63,USD
C-719176,8RHNUXORZ,2024-12-31,4278.0,310.5324,1328457.61,1313314.1,15143.51,USD
C-719176,1K9QM3P91,2024-12-31,4649.0,80.8479,375861.89,1199232.05,-823370.16,USD
C-131244,PZUE8YFBN,2024-12-31,9439.0,136.3342,1286858.51,3530819.16,-2243960.65,USD
C-131244,WZS3T60RJ,2024-12-31,2515.0,166.5542,418883.81,802821.45,-383937.64,USD
C-131244,HOLQC3O18,2024-12-31,5507.0,284.6441,1567535.06,1638485.1,-70950.04,USD
C-131244,ZQAKOIXNT,2024-12-31,3997.0,250.6117,1001694.96,1379860.52,-378165.56,USD
C-131244,3CFL0UKEY,2024-12-31,3551.0,156.7059,556462.65,251344.61,305118.04,USD
C-131244,SRCBPLJD8,2024-12-31,4473.0,407.745,1823843.38,651843.72,1171999.66,USD
C-131244,VIFTTD96Q,2024-12-31,5954.0,152.1179,905709.98,167674.93,738035.05,USD
C-131244,2JWOCLYT8,2024-12-31,1786.0,367.2708,655945.65,530666.2,125279.45,USD
C-131244,DNMKZA3OA,2024-12-31,3662.0,241.4811,884303.79,1072539.67,-188235.88,USD
C-131244,DWB2BNE6L,2024-12-31,3440.0,158.6174,545643.86,1087442.3,-541798.44,USD
C-131244,QW7LVXWQZ,2024-12-31,7537.0,333.1926,2511272.63,2083589.78,427682.85,USD
C-131244,HX8BM92H3,2024-12-31,6788.0,439.5284,2983518.78,2336715.91,646802.87,USD
C-131244,H5LF6A4FE,2024-12-31,8928.0,198.6474,1773523.99,2795611.89,-1022087.9,USD
C-131244,4X1ZHQIMQ,2024-12-31,4596.0,22.5838,103795.14,887411.47,-783616.33,USD
C-131244,TNQFLL7V5,2024-12-31,4304.0,395.9965,1704368.94,1251692.55,452676.39,USD
C-131244,BCPPVOHSM,2024-12-31,4081.0,174.8093,713396.75,306780.01,406616.74,USD
C-131244,DJGF1C8WQ,2024-12-31,5601.0,350.2632,1961824.18,1992126.99,-30302.81,USD
C-131244,NKOMV2XCD,2024-12-31,2911.0,495.0393,1441059.4,913927.28,527132.12,USD
C-131244,7OONNCILD,2024-12-31,1267.0,472.0794,598124.6,375667.4,222457.2,USD
C-131244,T0SEKKBP2,2024-12-31,742.0,24.9586,18519.28,206860.1,-188340.82,USD
C-131244,XD9CSS9TO,2024-12-31,2914.0,135.533,394943.16,758675.71,-363732.55,USD
C-131244,MMX3Y9RGE,2024-12-31,388.0,104.913,40706.24,23464.14,17242.1,USD
C-131244,EIXN8BFQN,2024-12-31,2934.0,309.1111,906931.97,643684.04,263247.93,USD
C-131244,ZHWY9HECG,2024-12-31,1755.0,157.3925,276223.84,635367.19,-359143.35,USD
C-131244,WW4FYB8DA,2024-12-31,4094.0,266.7008,1091873.08,785114.81,306758.27,USD
C-131244,0AXYCELOS,2024-12-31,2235.0,357.0571,798022.62,968823.78,-170801.16,USD
C-131244,QCEOUUYLA,2024-12-31,4162.0,233.6344,972386.37,903609.43,68776.94,USD
C-131244,QZPNIQFG5,2024-12-31,2645.0,83.3215,220385.37,934109.14,-713723.77,USD
C-131244,BPT11F9I6,2024-12-31,4845.0,234.5109,1136205.31,488905.55,647299.76,USD
C-131244,G10UR5L8A,2024-12-31,5869.0,205.2683,1204719.65,1001883.48,202836.17,USD
C-131244,T7M1R00Q0,2024-12-31,986.0,321.9604,317452.95,315643.64,1809.31,USD
C-131244,O4IZASNWY,2024-12-31,3085.0,28.3408,87431.37,828124.04,-740692.67,USD
C-131244,8V1ZOCFI4,2024-12-31,5379.0,86.4639,465089.32,1810692.4,-1345603.08,USD
C-131244,M349EL8HL,2024-12-31,997.0,389.0237,387856.63,132141.28,255715.35,USD
C-131244,VYLIENFNV,2024-12-31,5133.0,379.3014,1946954.09,1588923.22,358030.87,USD
C-343962,NF4ZW9XA3,2024-12-31,4486.0,372.9962,1673260.95,1029373.14,643887.81,USD
C-343962,XOKC1MSY4,2024-12-31,4007.0,61.8965,248019.28,1098162.32,-850143.04,USD
C-343962,5JU9BVM2P,2024-12-31,5360.0,443.1731,2375407.82,1911245.25,464162.57,USD
C-343962,EP7Y6WKTA,2024-12-31,2678.0,137.8821,369248.26,151228.48,218019.78,USD
C-343962,2VLPYS280,2024-12-31,6071.0,88.0456,534524.84,2127119.67,-1592594.83,USD
C-343962,RIPZIM6CF,2024-12-31,2361.0,361.0511,852441.65,977223.6,-124781.95,USD
C-343962,HOLQC3O18,2024-12-31,1153.0,284.6441,328194.65,426765.14,-98570.49,USD
C-343962,VXDP5GJLQ,2024-12-31,3789.0,470.5941,1783081.04,830683.27,952397.77,USD
C-343962,13JCAT9MX,2024-12-31,1570.0,22.7974,35791.92,544499.86,-508707.94,USD
C-343962,KQ1UYMRLR,2024-12-31,2709.0,246.2162,666999.69,848646.68,-181646.99,USD
C-343962,MLY4LYK83,2024-12-31,7056.0,474.1163,3345364.61,2303248.85,1042115.76,USD
C-343962,Y6B2KNFTU,2024-12-31,6417.0,280.4806,1799844.01,942980.26,856863.75,USD
C-343962,DNMKZA3OA,2024-12-31,4804.0,241.4811,1160075.2,889566.79,270508.41,USD
C-343962,0361I2HGJ,2024-12-31,1145.0,39.3381,45042.12,339888.17,-294846.05,USD
C-343962,2ATQYYV37,2024-12-31,6468.0,61.2252,396004.59,2316712.82,-1920708.23,USD
C-343962,F8KRD5EQY,2024-12-31,9315.0,134.4137,1252063.62,1636438.04,-384374.42,USD
C-343962,UVULEMX15,2024-12-31,6602.0,79.6971,526160.25,2310068.29,-1783908.04,USD
C-343962,3493WXA73,2024-12-31,5741.0,400.0453,2296660.07,1250773.1,1045886.97,USD
C-343962,BCPPVOHSM,2024-12-31,3202.0,174.8093,559739.38,1078274.31,-518534.93,USD
C-343962,LA0GNZS43,2024-12-31,4716.0,275.2748,1298195.96,2055141.66,-756945.7,USD
C-343962,2W37D4IVS,2024-12-31,8193.0,47.1681,386448.24,2820602.74,-2434154.5,USD
C-343962,CSLQC3C54,2024-12-31,3098.0,114.011,353206.08,1152622.9,-799416.82,USD
C-343962,J48VFCX7L,2024-12-31,8051.0,292.9708,2358707.91,2275910.19,82797.72,USD
C-343962,GYW6ZBNZ8,2024-12-31,741.0,452.0141,334942.45,356917.62,-21975.17,USD
C-343962,EK3ZEZQAC,2024-12-31,717.0,11.5725,8297.48,192250.36,-183952.88,USD
C-343962,NN0MCIXDU,2024-12-31,6190.0,477.4744,2955566.54,1736068.53,1219498.01,USD
C-343962,DLKQZFPQ0,2024-12-31,2365.0,367.1274,868256.3,449955.69,418300.61,USD
C-343962,8R2YKCCPR,2024-12-31,4784.0,484.9279,2319895.07,1048770.4,1271124.67,USD
C-343962,F5L9MO1SD,2024-12-31,2414.0,436.7211,1054244.74,241946.29,812298.45,USD
C-343962,OHSWQ40ZS,2024-12-31,1604.0,311.5914,499792.61,585386.86,-85594.25,USD
C-343962,KZMPJRHT7,2024-12-31,4782.0,450.5958,2154749.12,1381872.62,772876.5,USD
C-343962,OD9R7ANQJ,2024-12-31,5051.0,165.1842,834345.39,1206562.76,-372217.37,USD
C-343962,0AXYCELOS,2024-12-31,150.0,357.0571,53558.56,52858.51,700.05,USD
C-343962,E6KWHEF0V,2024-12-31,2507.0,132.6526,332560.07,1236247.33,-903687.26,USD
C-343962,36HTF4PYZ,2024-12-31,2510.0,215.6808,541358.81,450535.17,90823.64,USD
C-343962,119XP9N56,2024-12-31,6306.0,52.2355,329397.06,852089.52,-522692.46,USD
C-343962,QZPNIQFG5,2024-12-31,7372.0,83.3215,614246.1,2236463.95,-1622217.85,USD
C-343962,G10UR5L8A,2024-12-31,7035.0,205.2683,1444062.49,1165038.45,279024.04,USD
C-343962,50ATVZKHI,2024-12-31,11315.0,121.928,1379615.32,1419075.35,-39460.03,USD
C-343962,6YUJ7YKTX,2024-12-31,3951.0,429.3628,1696412.42,1408282.91,288129.51,USD
C-343962,VN1KICJN2,2024-12-31,6538.0,286.8312,1875302.39,1743630.75,131671.64,USD
C-343962,SYGJJFGJK,2024-12-31,369.0,138.7282,51190.71,144560.51,-93369.8,USD
C-343962,7ZRWQEAO4,2024-12-31,1768.0,121.3169,214488.28,467042.48,-252554.2,USD
C-343962,B8Z3V6DIX,2024-12-31,5027.0,428.3974,2153553.73,968937.05,1184616.68,USD
C-343962,NQYYF9RK7,2024-12-31,1403.0,60.3741,84704.86,453199.7,-368494.84,USD
C-343962,GWYX9TRFL,2024-12-31,7694.0,74.5956,573938.55,1959282.12,-1385343.57,USD
C-688508,L1CQ99CHJ,2024-12-31,2811.0,63.2187,177707.77,1019908.53,-842200.76,USD
C-688508,EL6246HID,2024-12-31,1919.0,408.3913,783702.9,460072.0,323630.9,USD
C-688508,FZNBQH7M3,2024-12-31,6686.0,292.741,1957266.33,1736198.16,221068.17,USD
C-688508,XOKC1MSY4,2024-12-31,5400.0,61.8965,334241.1,1713663.44,-1379422.34,USD
C-688508,6GBPS3Y70,2024-12-31,2667.0,288.9028,770503.77,145156.28,625347.49,USD
C-688508,JRNY20479,2024-12-31,2479.0,425.5658,1054977.62,1146566.15,-91588.53,USD
C-688508,VXDP5GJLQ,2024-12-31,137.0,470.5941,64471.39,40060.54,24410.85,USD
C-688508,8HAFEYUHZ,2024-12-31,2130.0,303.726,646936.38,361280.1,285656.28,USD
C-688508,TXCXAPRPN,2024-12-31,2764.0,260.5051,720036.1,1042031.3,-321995.2,USD
C-688508,GSXW71Q3V,2024-12-31,4224.0,311.806,1317068.54,1033363.14,283705.4,USD
C-688508,TMQLIZL08,2024-12-31,8351.0,39.099,326515.75,1582452.12,-1255936.37,USD
C-688508,QPGB7R3OC,2024-12-31,7847.0,358.7077,2814779.32,2664421.73,150357.59,USD
C-688508,XFGCAQVKI,2024-12-31,3282.0,429.0361,1408096.48,375054.36,1033042.12,USD
C-688508,MLY4LYK83,2024-12-31,8590.0,474.1163,4072659.02,2163240.38,1909418.64,USD
C-688508,RZSJ49ITN,2024-12-31,6148.0,29.155,179244.94,1535162.0,-1355917.06,USD
C-688508,B0Z3NX39R,2024-12-31,3486.0,20.4554,71307.52,940730.13,-869422.61,USD
C-688508,8LD4D6AF5,2024-12-31,6020.0,302.8683,1823267.17,767321.89,1055945.28,USD
C-688508,Y6B2KNFTU,2024-12-31,7153.0,280.4806,2006277.73,1611539.91,394737.82,USD
C-688508,DWB2BNE6L,2024-12-31,3581.0,158.6174,568008.91,649435.39,-81426.48,USD
C-688508,H5LF6A4FE,2024-12-31,6813.0,198.6474,1353384.74,1545755.37,-192370.63,USD
C-688508,VMUHXID4N,2024-12-31,2955.0,403.0874,1191123.27,906022.48,285100.79,USD
C-688508,J17MGFXC0,2024-12-31,5158.0,247.1333,1274713.56,1023676.71,251036.85,USD
C-688508,TNQFLL7V5,2024-12-31,677.0,395.9965,268089.63,218695.98,49393.65,USD
C-688508,LA0GNZS43,2024-12-31,6001.0,275.2748,1651924.07,487624.14,1164299.93,USD
C-688508,DJGF1C8WQ,2024-12-31,2884.0,350.2632,1010159.07,431937.54,578221.53,USD
