fund_code,isin_identifier,nav_date,shares_held,nav_per_share,total_nav_value,book_cost,currency_code
FND-0001,US9RIVH6T1N9,2024-12-31,5518.0,65.705,362560.19,1633375.49,USD
FND-0001,USO4IZASNWY6,2024-12-31,3267.0,28.455,92962.49,627021.58,USD
FND-0001,US8V1ZOCFI46,2024-12-31,5867.0,86.6322,508271.12,875770.84,USD
FND-0001,USSYGJJFGJK4,2024-12-31,7991.0,138.8834,1109817.25,1920399.92,USD
FND-0001,US7ZRWQEAO47,2024-12-31,7382.0,120.8184,891881.43,691300.03,USD
FND-0001,USIOGXPBWHV5,2024-12-31,4731.0,36.7351,173793.76,1355205.96,USD
FND-0001,USHKZ2U2TNH3,2024-12-31,4539.0,498.8931,2264475.78,1478370.12,USD
FND-0001,US5SXVWVM4W6,2024-12-31,1963.0,472.9402,928381.61,376104.41,USD
FND-0001,US8RHNUXORZ2,2024-12-31,7131.0,311.3054,2219918.81,1526035.38,USD
FND-0001,USCB1KJTGQ02,2024-12-31,83.0,109.0842,9053.99,23324.23,USD
FND-0001,USE13N3BZT96,2024-12-31,5442.0,300.581,1635761.8,1849315.48,USD
FND-0002,USNF4ZW9XA32,2024-12-31,1527.0,371.4128,567147.35,625836.67,USD
FND-0002,USFZNBQH7M37,2024-12-31,5430.0,292.5624,1588613.83,251059.35,USD
FND-0002,USRIPZIM6CF6,2024-12-31,6583.0,360.4147,2372609.97,863151.67,USD
FND-0002,USJRNY204793,2024-12-31,5842.0,427.3447,2496547.74,2233989.66,USD
FND-0002,USV0E38DALY2,2024-12-31,2371.0,438.2053,1038984.77,258297.69,USD
FND-0002,USQPGB7R3OC9,2024-12-31,6866.0,359.7108,2469774.35,2440254.82,USD
FND-0002,USSRCBPLJD82,2024-12-31,2410.0,407.6026,982322.27,699467.09,USD
FND-0002,USN1W1HT7PZ8,2024-12-31,5316.0,292.4719,1554780.62,1312060.51,USD
FND-0002,USC5WI6FQJJ0,2024-12-31,3700.0,73.0965,270457.05,1452064.74,USD
FND-0002,USDWB2BNE6L1,2024-12-31,6417.0,158.0767,1014378.18,1736842.88,USD
FND-0002,USBCPPVOHSM3,2024-12-31,6004.0,174.8914,1050047.97,1064099.7,USD
FND-0002,USBA75UUZPE5,2024-12-31,7199.0,253.8428,1827414.32,1028421.93,USD
FND-0002,US2W37D4IVS6,2024-12-31,3963.0,47.3568,187675.0,1420707.5,USD
FND-0002,US7UWW5WFCP8,2024-12-31,5933.0,314.9665,1868696.24,1222508.08,USD
FND-0002,USENLK8AGS64,2024-12-31,4580.0,162.4434,743990.77,648563.83,USD
FND-0002,USMBR5XQT4P0,2024-12-31,11411.0,278.1951,3174484.29,1967656.18,USD
FND-0002,USG02U1G4636,2024-12-31,7797.0,93.0911,725831.31,1994918.23,USD
FND-0002,USOD9R7ANQJ6,2024-12-31,7629.0,165.7354,1264395.37,1935810.97,USD
FND-0002,USQZPNIQFG57,2024-12-31,2735.0,83.2938,227808.54,1137545.99,USD
FND-0002,USBPT11F9I63,2024-12-31,4729.0,234.4981,1108941.51,732595.0,USD
FND-0002,US9RIVH6T1N9,2024-12-31,1702.0,66.1401,112570.45,617336.69,USD
FND-0002,USJSRD9Q46N3,2024-12-31,7324.0,144.0183,1054790.03,1708930.46,USD
FND-0002,USWZC4XL9969,2024-12-31,4945.0,142.4414,704372.72,1823918.96,USD
FND-0002,US5SXVWVM4W6,2024-12-31,1617.0,475.6465,769120.39,230077.7,USD
FND-0002,US8RHNUXORZ2,2024-12-31,6391.0,310.0207,1981342.29,1715217.57,USD
FND-0003,USEP7Y6WKTA5,2024-12-31,5619.0,138.1969,776528.38,753391.3,USD
FND-0003,USWZS3T60RJ7,2024-12-31,10488.0,165.9219,1740188.89,1714329.44,USD
FND-0003,USJRNY204793,2024-12-31,4044.0,426.622,1725259.37,763003.73,USD
FND-0003,US13JCAT9MX6,2024-12-31,88.0,22.7488,2001.89,10991.87,USD
FND-0003,USKQ1UYMRLR6,2024-12-31,3328.0,246.9855,821967.74,1198241.08,USD
FND-0003,USZQAKOIXNT6,2024-12-31,4307.0,250.7056,1079789.02,1746580.7,USD
FND-0003,US3U1GSPK9P5,2024-12-31,8046.0,260.0373,2092260.12,2205381.2,USD
FND-0003,USN1W1HT7PZ8,2024-12-31,6023.0,293.0915,1765290.1,1080553.86,USD
FND-0003,USJ2O7S3KKV2,2024-12-31,673.0,333.6209,224526.87,309659.14,USD
FND-0003,USC5WI6FQJJ0,2024-12-31,4280.0,72.9165,312082.62,705644.03,USD
FND-0003,USYFPMVXPJ46,2024-12-31,3782.0,394.4203,1491697.57,1567269.88,USD
FND-0003,US0FODRO8BN3,2024-12-31,2421.0,274.3251,664141.07,134477.11,USD
FND-0003,USPXNF7C3DD2,2024-12-31,3362.0,302.649,1017505.94,614580.02,USD
FND-0003,USUVULEMX155,2024-12-31,5663.0,79.4367,449850.03,635907.39,USD
FND-0003,US3493WXA732,2024-12-31,2311.0,400.74,926110.14,657419.18,USD
FND-0003,USBA75UUZPE5,2024-12-31,589.0,255.3258,150386.9,113798.51,USD
FND-0003,US2W37D4IVS6,2024-12-31,4468.0,47.2884,211284.57,1363260.07,USD
FND-0003,USU80B6UGVS8,2024-12-31,7121.0,382.4036,2723096.04,1968674.36,USD
FND-0003,US349DXBZ9S3,2024-12-31,4264.0,479.4895,2044543.23,319051.9,USD
FND-0003,USYSAL8M1G97,2024-12-31,503.0,36.2329,18225.15,182872.69,USD
FND-0003,USMMX3Y9RGE8,2024-12-31,4786.0,104.9577,502327.55,1395410.35,USD
FND-0003,US5COZROOUE3,2024-12-31,3750.0,386.5802,1449675.75,1673659.92,USD
FND-0003,USFFLZM764J2,2024-12-31,9331.0,408.1,3807981.1,3612286.43,USD
FND-0003,USWWDXVUGW63,2024-12-31,1905.0,467.789,891138.04,654447.32,USD
FND-0003,US1NOUHTCS13,2024-12-31,5623.0,95.2653,535676.78,1594315.82,USD
FND-0003,USVEDN9UNFV7,2024-12-31,5673.0,456.6708,2590693.45,2251715.31,USD
FND-0003,US2G05KBKV70,2024-12-31,4945.0,428.9801,2121306.59,730886.0,USD
FND-0003,US9TR74QGEF5,2024-12-31,10979.0,248.4984,2728263.93,1852629.99,USD
FND-0003,US231YV2STN1,2024-12-31,9327.0,173.1141,1614635.21,3450057.17,USD
FND-0003,US36HTF4PYZ6,2024-12-31,8317.0,216.4308,1800054.96,2022312.93,USD
FND-0003,USYUBMXNSZO8,2024-12-31,5893.0,134.3702,791843.59,934069.9,USD
FND-0003,US9RIVH6T1N9,2024-12-31,4704.0,66.1985,311397.74,1559423.42,USD
FND-0003,USZR7TXCB484,2024-12-31,3128.0,110.4317,345430.36,1024682.1,USD
FND-0003,USO4IZASNWY6,2024-12-31,2735.0,28.316,77444.26,670083.02,USD
FND-0003,USRATATJ9A34,2024-12-31,2205.0,386.3504,851902.63,421660.13,USD
FND-0003,USIZK3C9XBO3,2024-12-31,5047.0,264.2386,1333612.21,1098728.39,USD
FND-0003,USWZC4XL9969,2024-12-31,9103.0,142.9282,1301075.4,1503347.76,USD
FND-0003,US1F90S9BP40,2024-12-31,4318.0,113.4858,490031.68,1095470.25,USD
FND-0003,US7ZRWQEAO47,2024-12-31,5531.0,121.4835,671925.24,1715102.74,USD
FND-0003,USB8Z3V6DIX6,2024-12-31,6106.0,429.2435,2620960.81,1915988.5,USD
FND-0003,US9YO18PAJS6,2024-12-31,7278.0,337.0046,2452719.48,1053744.54,USD
FND-0003,USFLQHRRPZL2,2024-12-31,11641.0,397.6809,4629403.36,3190150.61,USD
FND-0003,USIOGXPBWHV5,2024-12-31,6543.0,36.7794,240647.61,2003306.26,USD
FND-0003,USHKZ2U2TNH3,2024-12-31,3237.0,494.2146,1599772.66,1043773.41,USD
FND-0004,USL1CQ99CHJ4,2024-12-31,3904.0,63.3425,247289.12,850198.54,USD
FND-0004,USR64DPJA1W5,2024-12-31,2232.0,93.0659,207723.09,608151.7,USD
FND-0004,USEL6246HID9,2024-12-31,5400.0,407.5536,2200789.44,1704161.61,USD
FND-0004,USXOKC1MSY46,2024-12-31,4349.0,62.1534,270305.14,402344.74,USD
FND-0004,US6GBPS3Y708,2024-12-31,7157.0,288.7185,2066358.3,725021.01,USD
FND-0004,USEP7Y6WKTA5,2024-12-31,1657.0,137.9161,228526.98,51838.91,USD
FND-0004,US4COWGZRIX9,2024-12-31,8682.0,58.041,503911.96,2300118.65,USD
FND-0004,USWZS3T60RJ7,2024-12-31,6004.0,166.6695,1000683.68,968967.04,USD
FND-0004,USJRNY204793,2024-12-31,6568.0,424.8797,2790609.87,1867723.75,USD
FND-0004,USV0E38DALY2,2024-12-31,5107.0,438.8441,2241176.82,1462785.76,USD
FND-0004,USHV3IZKY220,2024-12-31,7551.0,210.5453,1589827.56,2202924.9,USD
FND-0004,USKQ1UYMRLR6,2024-12-31,9327.0,245.6248,2290942.51,3231754.16,USD
FND-0004,USXFGCAQVKI9,2024-12-31,4082.0,427.4936,1745028.88,1258660.27,USD
FND-0004,USDJE153A5Q4,2024-12-31,6656.0,469.5242,3125153.08,1768283.25,USD
FND-0004,US8LD4D6AF53,2024-12-31,3014.0,303.4809,914691.43,919047.97,USD
FND-0004,US2JWOCLYT89,2024-12-31,2667.0,366.2747,976854.62,1119867.2,USD
FND-0004,USBCW790PDW9,2024-12-31,4050.0,278.9782,1129861.71,1345525.5,USD
FND-0004,USDNMKZA3OA8,2024-12-31,2547.0,242.0143,616410.42,715720.9,USD
FND-0004,USQW7LVXWQZ1,2024-12-31,1250.0,334.4653,418081.62,549519.38,USD
FND-0004,US0FODRO8BN3,2024-12-31,4473.0,274.8958,1229608.91,657108.07,USD
FND-0004,USTNQFLL7V56,2024-12-31,4914.0,395.2319,1942169.56,1715792.26,USD
FND-0004,USBA75UUZPE5,2024-12-31,5604.0,254.6283,1426936.99,1424729.9,USD
FND-0004,US349DXBZ9S3,2024-12-31,3763.0,482.5565,1815860.11,761972.8,USD
FND-0004,US2SPFHV5BR9,2024-12-31,5929.0,395.7303,2346284.95,1974931.11,USD
FND-0004,UST0SEKKBP27,2024-12-31,5869.0,24.9506,146435.07,1502720.09,USD
FND-0004,US4RTWUZKAM7,2024-12-31,6192.0,455.2025,2818613.88,1709303.47,USD
FND-0004,USKBHB7S9TJ9,2024-12-31,5087.0,328.8272,1672743.97,1629349.25,USD
FND-0004,USRR7S20CV35,2024-12-31,8851.0,349.8708,3096706.45,3166567.36,USD
FND-0004,USDLKQZFPQ09,2024-12-31,3860.0,367.6201,1419013.59,1159711.68,USD
FND-0004,USZHWY9HECG4,2024-12-31,4979.0,156.9759,781583.01,1748928.6,USD
FND-0004,USSEHE2ATN27,2024-12-31,5546.0,410.9377,2279060.48,811823.92,USD
FND-0004,US1NOUHTCS13,2024-12-31,8075.0,94.9016,766330.42,1226777.37,USD
FND-0004,USR8KK791ZY9,2024-12-31,5916.0,92.3409,546288.76,2004188.06,USD
FND-0004,USM72JEYN931,2024-12-31,6126.0,55.8993,342439.11,2281530.64,USD
FND-0004,US2G05KBKV70,2024-12-31,2943.0,429.1078,1262864.26,873889.12,USD
FND-0004,USE6KWHEF0V7,2024-12-31,3014.0,133.2248,401539.55,437104.45,USD
FND-0004,US36HTF4PYZ6,2024-12-31,3861.0,216.5298,836021.56,1397146.57,USD
FND-0004,USIHX74D0GJ5,2024-12-31,2913.0,352.1633,1025851.69,204870.68,USD
FND-0004,USG10UR5L8A6,2024-12-31,3007.0,205.8973,619133.18,699627.11,USD
FND-0004,UST7M1R00Q00,2024-12-31,5647.0,321.9651,1818136.92,880126.61,USD
FND-0004,USO4IZASNWY6,2024-12-31,8655.0,28.362,245473.11,2366818.73,USD
FND-0004,USWZC4XL9969,2024-12-31,2966.0,143.2506,424881.28,629728.83,USD
FND-0004,US6YUJ7YKTX0,2024-12-31,2784.0,427.8115,1191027.22,383244.6,USD
FND-0004,US8O1BJ9RM76,2024-12-31,4598.0,37.3892,171915.54,1725602.7,USD
FND-0004,USMD7Q1DDPU8,2024-12-31,1872.0,453.7547,849428.8,409546.99,USD
FND-0004,USSYGJJFGJK4,2024-12-31,1660.0,138.8462,230484.69,527126.09,USD
FND-0004,USB8Z3V6DIX6,2024-12-31,1573.0,426.8659,671460.06,538743.22,USD
FND-0004,USVYLIENFNV8,2024-12-31,3359.0,380.0043,1276434.44,646890.77,USD
FND-0004,US8RHNUXORZ2,2024-12-31,4278.0,311.6084,1333060.74,1313314.1,USD
FND-0004,US1K9QM3P914,2024-12-31,4649.0,80.7941,375611.77,1199232.05,USD
FND-0005,USPZUE8YFBN3,2024-12-31,9439.0,135.8294,1282093.71,3530819.16,USD
FND-0005,USWZS3T60RJ7,2024-12-31,2515.0,166.0734,417674.6,802821.45,USD
FND-0005,USHOLQC3O184,2024-12-31,5507.0,284.9332,1569127.13,1638485.1,USD
FND-0005,USZQAKOIXNT6,2024-12-31,3997.0,249.5204,997333.04,1379860.52,USD
FND-0005,US3CFL0UKEY7,2024-12-31,3551.0,156.0198,554026.31,251344.61,USD
FND-0005,USSRCBPLJD82,2024-12-31,4473.0,409.0502,1829681.54,651843.72,USD
FND-0005,USVIFTTD96Q4,2024-12-31,5954.0,152.7382,909403.24,167674.93,USD
FND-0005,US2JWOCLYT89,2024-12-31,1786.0,368.4139,657987.23,530666.2,USD
FND-0005,USDNMKZA3OA8,2024-12-31,3662.0,241.4327,884126.55,1072539.67,USD
FND-0005,USDWB2BNE6L1,2024-12-31,3440.0,158.3117,544592.25,1087442.3,USD
FND-0005,USQW7LVXWQZ1,2024-12-31,7537.0,334.7164,2522757.51,2083589.78,USD
FND-0005,USHX8BM92H30,2024-12-31,6788.0,441.3815,2996097.62,2336715.91,USD
FND-0005,USH5LF6A4FE5,2024-12-31,8928.0,198.5687,1772821.35,2795611.89,USD
FND-0005,US4X1ZHQIMQ0,2024-12-31,4596.0,22.5401,103594.3,887411.47,USD
FND-0005,USTNQFLL7V56,2024-12-31,4304.0,395.8176,1703598.95,1251692.55,USD
FND-0005,USBCPPVOHSM3,2024-12-31,4081.0,175.1121,714632.48,306780.01,USD
FND-0005,USDJGF1C8WQ0,2024-12-31,5601.0,349.401,1956995.0,1992126.99,USD
FND-0005,USNKOMV2XCD8,2024-12-31,2911.0,493.5507,1436726.09,913927.28,USD
FND-0005,US7OONNCILD3,2024-12-31,1267.0,473.2192,599568.73,375667.4,USD
FND-0005,UST0SEKKBP27,2024-12-31,742.0,24.959,18519.58,206860.1,USD
FND-0005,USXD9CSS9TO3,2024-12-31,2914.0,135.4681,394754.04,758675.71,USD
FND-0005,USMMX3Y9RGE8,2024-12-31,388.0,105.2867,40851.24,23464.14,USD
FND-0005,USEIXN8BFQN9,2024-12-31,2934.0,307.8198,903143.29,643684.04,USD
FND-0005,USZHWY9HECG4,2024-12-31,1755.0,156.9837,275506.39,635367.19,USD
FND-0005,USWW4FYB8DA7,2024-12-31,4094.0,267.8102,1096414.96,785114.81,USD
FND-0005,US0AXYCELOS4,2024-12-31,2235.0,358.7335,801769.37,968823.78,USD
FND-0005,USQCEOUUYLA9,2024-12-31,4162.0,234.687,976767.29,903609.43,USD
FND-0005,USQZPNIQFG57,2024-12-31,2645.0,83.4413,220702.24,934109.14,USD
FND-0005,USBPT11F9I63,2024-12-31,4845.0,234.6978,1137110.84,488905.55,USD
FND-0005,USG10UR5L8A6,2024-12-31,5869.0,205.7319,1207440.52,1001883.48,USD
FND-0005,UST7M1R00Q00,2024-12-31,986.0,323.5249,318995.55,315643.64,USD
FND-0005,USO4IZASNWY6,2024-12-31,3085.0,28.4747,87844.45,828124.04,USD
FND-0005,US8V1ZOCFI46,2024-12-31,5379.0,86.6426,466050.55,1810692.4,USD
FND-0005,USM349EL8HL7,2024-12-31,997.0,387.3425,386180.47,132141.28,USD
FND-0005,USVYLIENFNV8,2024-12-31,5133.0,379.3081,1946988.48,1588923.22,USD
FND-0006,USNF4ZW9XA32,2024-12-31,4486.0,374.7139,1680966.56,1029373.14,USD
FND-0006,USXOKC1MSY46,2024-12-31,4007.0,61.7336,247366.54,1098162.32,USD
FND-0006,US5JU9BVM2P2,2024-12-31,5360.0,442.9885,2374418.36,1911245.25,USD
FND-0006,USEP7Y6WKTA5,2024-12-31,2678.0,137.3236,367752.6,151228.48,USD
FND-0006,US2VLPYS2809,2024-12-31,6071.0,88.1009,534860.56,2127119.67,USD
FND-0006,USRIPZIM6CF6,2024-12-31,2361.0,359.5778,848963.19,977223.6,USD
FND-0006,USHOLQC3O184,2024-12-31,1153.0,285.2828,328931.07,426765.14,USD
FND-0006,USVXDP5GJLQ7,2024-12-31,3789.0,469.1211,1777499.85,830683.27,USD
FND-0006,US13JCAT9MX6,2024-12-31,1570.0,22.6966,35633.66,544499.86,USD
FND-0006,USKQ1UYMRLR6,2024-12-31,2709.0,246.6768,668247.45,848646.68,USD
FND-0006,USMLY4LYK835,2024-12-31,7056.0,474.386,3347267.62,2303248.85,USD
FND-0006,USY6B2KNFTU8,2024-12-31,6417.0,280.4033,1799347.98,942980.26,USD
FND-0006,USDNMKZA3OA8,2024-12-31,4804.0,240.8996,1157281.68,889566.79,USD
FND-0006,US0361I2HGJ0,2024-12-31,1145.0,39.2735,44968.16,339888.17,USD
FND-0006,US2ATQYYV374,2024-12-31,6468.0,61.4169,397244.51,2316712.82,USD
FND-0006,USF8KRD5EQY0,2024-12-31,9315.0,135.0221,1257730.86,1636438.04,USD
FND-0006,USUVULEMX155,2024-12-31,6602.0,79.9581,527883.38,2310068.29,USD
FND-0006,US3493WXA732,2024-12-31,5741.0,399.542,2293770.62,1250773.1,USD
FND-0006,USBCPPVOHSM3,2024-12-31,3202.0,175.5282,562041.3,1078274.31,USD
FND-0006,USLA0GNZS438,2024-12-31,4716.0,275.561,1299545.68,2055141.66,USD
FND-0006,US2W37D4IVS6,2024-12-31,8193.0,47.2441,387070.91,2820602.74,USD
FND-0006,USCSLQC3C541,2024-12-31,3098.0,114.4417,354540.39,1152622.9,USD
FND-0006,USJ48VFCX7L8,2024-12-31,8051.0,292.6436,2356073.62,2275910.19,USD
FND-0006,USGYW6ZBNZ88,2024-12-31,741.0,454.2239,336579.91,356917.62,USD
FND-0006,USEK3ZEZQAC7,2024-12-31,717.0,11.6205,8331.9,192250.36,USD
FND-0006,USNN0MCIXDU2,2024-12-31,6190.0,476.6026,2950170.09,1736068.53,USD
FND-0006,USDLKQZFPQ09,2024-12-31,2365.0,366.0794,865777.78,449955.69,USD
FND-0006,US8R2YKCCPR5,2024-12-31,4784.0,487.2701,2331100.16,1048770.4,USD
FND-0006,USF5L9MO1SD6,2024-12-31,2414.0,435.846,1052132.24,241946.29,USD
FND-0006,USOHSWQ40ZS2,2024-12-31,1604.0,311.4862,499623.86,585386.86,USD
FND-0006,USKZMPJRHT79,2024-12-31,4782.0,451.2795,2158018.57,1381872.62,USD
FND-0006,USOD9R7ANQJ6,2024-12-31,5051.0,165.2252,834552.49,1206562.76,USD
FND-0006,US0AXYCELOS4,2024-12-31,150.0,357.0795,53561.93,52858.51,USD
FND-0006,USE6KWHEF0V7,2024-12-31,2507.0,132.157,331317.6,1236247.33,USD
FND-0006,US36HTF4PYZ6,2024-12-31,2510.0,216.0967,542402.72,450535.17,USD
FND-0006,US119XP9N560,2024-12-31,6306.0,52.0442,328190.73,852089.52,USD
FND-0006,USQZPNIQFG57,2024-12-31,7372.0,83.389,614743.71,2236463.95,USD
FND-0006,USG10UR5L8A6,2024-12-31,7035.0,206.1725,1450423.54,1165038.45,USD
FND-0006,US50ATVZKHI3,2024-12-31,11315.0,121.6154,1376078.25,1419075.35,USD
FND-0006,US6YUJ7YKTX0,2024-12-31,3951.0,427.7432,1690013.38,1408282.91,USD
FND-0006,USVN1KICJN27,2024-12-31,6538.0,285.7958,1868532.94,1743630.75,USD
FND-0006,USSYGJJFGJK4,2024-12-31,369.0,139.0467,51308.23,144560.51,USD
FND-0006,US7ZRWQEAO47,2024-12-31,1768.0,121.5945,214979.08,467042.48,USD
FND-0006,USB8Z3V6DIX6,2024-12-31,5027.0,427.8691,2150897.97,968937.05,USD
FND-0006,USNQYYF9RK73,2024-12-31,1403.0,60.5379,84934.67,453199.7,USD
FND-0006,USGWYX9TRFL4,2024-12-31,7694.0,74.7713,575290.38,1959282.12,USD
FND-0007,USL1CQ99CHJ4,2024-12-31,2811.0,63.0198,177148.66,1019908.53,USD
FND-0007,USEL6246HID9,2024-12-31,1919.0,408.5525,784012.25,460072.0,USD
FND-0007,USFZNBQH7M37,2024-12-31,6686.0,292.7337,1957217.52,1736198.16,USD
FND-0007,USXOKC1MSY46,2024-12-31,5400.0,62.0156,334884.24,1713663.44,USD
FND-0007,US6GBPS3Y708,2024-12-31,2667.0,289.3574,771716.19,145156.28,USD
FND-0007,USJRNY204793,2024-12-31,2479.0,426.7223,1057844.58,1146566.15,USD
FND-0007,USVXDP5GJLQ7,2024-12-31,137.0,471.2152,64556.48,40060.54,USD
FND-0007,US8HAFEYUHZ8,2024-12-31,2130.0,303.6199,646710.39,361280.1,USD
FND-0007,USTXCXAPRPN5,2024-12-31,2764.0,261.3506,722373.06,1042031.3,USD
FND-0007,USGSXW71Q3V5,2024-12-31,4224.0,310.4683,1311418.1,1033363.14,USD
FND-0007,USTMQLIZL088,2024-12-31,8351.0,39.2785,328014.75,1582452.12,USD
FND-0007,USQPGB7R3OC9,2024-12-31,7847.0,357.2985,2803721.33,2664421.73,USD
FND-0007,USXFGCAQVKI9,2024-12-31,3282.0,427.5021,1403061.89,375054.36,USD
FND-0007,USMLY4LYK835,2024-12-31,8590.0,474.9898,4080162.38,2163240.38,USD
FND-0007,USRZSJ49ITN0,2024-12-31,6148.0,29.184,179423.23,1535162.0,USD
FND-0007,USB0Z3NX39R2,2024-12-31,3486.0,20.3564,70962.41,940730.13,USD
FND-0007,US8LD4D6AF53,2024-12-31,6020.0,302.9004,1823460.41,767321.89,USD
FND-0007,USY6B2KNFTU8,2024-12-31,7153.0,280.1926,2004217.67,1611539.91,USD
FND-0007,USDWB2BNE6L1,2024-12-31,3581.0,159.0249,569468.17,649435.39,USD
FND-0007,USH5LF6A4FE5,2024-12-31,6813.0,198.0275,1349161.36,1545755.37,USD
FND-0007,USVMUHXID4N9,2024-12-31,2955.0,404.8114,1196217.69,906022.48,USD
FND-0007,USJ17MGFXC03,2024-12-31,5158.0,246.0453,1269101.66,1023676.71,USD
FND-0007,USTNQFLL7V56,2024-12-31,677.0,397.6365,269199.91,218695.98,USD
FND-0007,USLA0GNZS438,2024-12-31,6001.0,275.1252,1651026.33,487624.14,USD
FND-0007,USDJGF1C8WQ0,2024-12-31,2884.0,351.7246,1014373.75,431937.54,USD
FND-0007,USYSAL8M1G97,2024-12-31,6240.0,36.3145,226602.48,1658389.89,USD
FND-0007,US2SPFHV5BR9,2024-12-31,5464.0,393.3305,2149157.85,1528380.95,USD
FND-0007,USXD9CSS9TO3,2024-12-31,3106.0,136.0204,422479.36,820762.44,USD
FND-0007,USEIXN8BFQN9,2024-12-31,3292.0,308.8595,1016765.47,310556.45,USD
FND-0007,USZHWY9HECG4,2024-12-31,4475.0,156.8919,702091.25,869618.05,USD
FND-0007,USSEHE2ATN27,2024-12-31,480.0,413.2925,198380.4,80864.64,USD
FND-0007,US8R2YKCCPR5,2024-12-31,3644.0,484.4453,1765318.67,1200533.63,USD
FND-0007,USMBR5XQT4P0,2024-12-31,2860.0,278.3092,795964.31,491521.6,USD
FND-0007,US1NOUHTCS13,2024-12-31,2307.0,94.8227,218755.97,734449.6,USD
FND-0007,USVEDN9UNFV7,2024-12-31,9466.0,455.3732,4310562.71,1671538.59,USD
FND-0007,US5WVJX8UIB5,2024-12-31,440.0,285.3362,125547.93,25463.86,USD
FND-0007,USWW4FYB8DA7,2024-12-31,1286.0,267.1958,343613.8,488764.11,USD
FND-0007,USOHSWQ40ZS2,2024-12-31,2726.0,312.6175,852195.31,349399.06,USD
FND-0007,USRATATJ9A34,2024-12-31,3600.0,387.7028,1395730.08,974431.32,USD
FND-0007,US8O1BJ9RM76,2024-12-31,6190.0,37.192,230218.48,2336146.43,USD
FND-0007,US7ZRWQEAO47,2024-12-31,3745.0,120.8098,452432.7,854446.16,USD
FND-0007,USM349EL8HL7,2024-12-31,4128.0,389.1508,1606414.5,334905.06,USD
FND-0007,US9YO18PAJS6,2024-12-31,2227.0,336.2006,748718.74,652736.15,USD
