record_id,source_system,account_ref,security_ref,security_ref_type,security_master_id,position_date,quantity,price,market_value,cost_basis,unrealized_gl,asset_class,currency,etl_loaded_at
POS-C-877572-ZSEDFQS3D,TOPAZ,C-877572,ZSEDFQS3D,CUSIP,SEC-0101,2024-12-31,2815.0,109.5016,308247.0,761767.7,-453520.7,Alternatives,USD,2025-01-02 06:00:00
POS-C-877572-T0SEKKBP2,TOPAZ,C-877572,T0SEKKBP2,CUSIP,SEC-0104,2024-12-31,490.0,24.9586,12229.71,238752.55,-226522.84,Alternatives,USD,2025-01-02 06:00:00
POS-C-877572-XD9CSS9TO,TOPAZ,C-877572,XD9CSS9TO,CUSIP,SEC-0106,2024-12-31,4370.0,135.533,592279.21,1223719.38,-631440.17,Real Estate,USD,2025-01-02 06:00:00
POS-C-877572-NN0MCIXDU,TOPAZ,C-877572,NN0MCIXDU,CUSIP,SEC-0107,2024-12-31,10724.0,477.4744,5120435.47,2529580.85,2590854.62,Cash,USD,2025-01-02 06:00:00
POS-C-877572-ZHWY9HECG,TOPAZ,C-877572,ZHWY9HECG,CUSIP,SEC-0116,2024-12-31,2603.0,157.3925,409692.68,127663.75,282028.93,Equity,USD,2025-01-02 06:00:00
POS-C-877572-389YZTKKF,TOPAZ,C-877572,389YZTKKF,CUSIP,,2024-12-31,2443.0,394.7194,964299.49,970195.81,-5896.32,,USD,2025-01-02 06:00:00
POS-C-877572-F5L9MO1SD,TOPAZ,C-877572,F5L9MO1SD,CUSIP,SEC-0125,2024-12-31,6338.0,436.7211,2767938.33,2797675.91,-29737.58,Fixed Income,USD,2025-01-02 06:00:00
POS-C-877572-JIDKNWI5F,TOPAZ,C-877572,JIDKNWI5F,CUSIP,SEC-0126,2024-12-31,7681.0,280.2796,2152827.61,1856260.65,296566.96,Fixed Income,USD,2025-01-02 06:00:00
POS-C-877572-M3TZK3NY9,TOPAZ,C-877572,M3TZK3NY9,CUSIP,SEC-0132,2024-12-31,1303.0,119.3674,155535.72,479118.96,-323583.24,Cash,USD,2025-01-02 06:00:00
POS-C-877572-M72JEYN93,TOPAZ,C-877572,M72JEYN93,CUSIP,SEC-0138,2024-12-31,6410.0,55.6966,357015.21,2283466.43,-1926451.22,Cash,USD,2025-01-02 06:00:00
POS-C-877572-0AXYCELOS,TOPAZ,C-877572,0AXYCELOS,CUSIP,SEC-0147,2024-12-31,2365.0,357.0571,844440.04,33470.9,810969.14,Alternatives,USD,2025-01-02 06:00:00
POS-C-877572-E6KWHEF0V,TOPAZ,C-877572,E6KWHEF0V,CUSIP,SEC-0148,2024-12-31,7478.0,132.6526,991976.14,1130003.32,-138027.18,Commodities,USD,2025-01-02 06:00:00
POS-C-877572-231YV2STN,TOPAZ,C-877572,231YV2STN,CUSIP,SEC-0149,2024-12-31,7020.0,173.3514,1216926.83,2166309.37,-949382.54,Cash,USD,2025-01-02 06:00:00
POS-C-877572-IHX74D0GJ,TOPAZ,C-877572,IHX74D0GJ,CUSIP,SEC-0161,2024-12-31,1423.0,350.838,499242.47,48361.79,450880.68,Real Estate,USD,2025-01-02 06:00:00
POS-C-877572-G10UR5L8A,TOPAZ,C-877572,G10UR5L8A,CUSIP,SEC-0162,2024-12-31,4888.0,205.2683,1003351.45,729486.16,273865.29,Commodities,USD,2025-01-02 06:00:00
POS-C-877572-9RIVH6T1N,TOPAZ,C-877572,9RIVH6T1N,CUSIP,,2024-12-31,5518.0,65.9321,363813.33,1633375.49,-1269562.16,,USD,2025-01-02 06:00:00
POS-C-877572-O4IZASNWY,TOPAZ,C-877572,O4IZASNWY,CUSIP,SEC-0168,2024-12-31,3267.0,28.3408,92589.39,627021.58,-534432.19,Commodities,USD,2025-01-02 06:00:00
POS-C-877572-8V1ZOCFI4,TOPAZ,C-877572,8V1ZOCFI4,CUSIP,SEC-0174,2024-12-31,5867.0,86.4639,507283.7,875770.84,-368487.14,Fixed Income,USD,2025-01-02 06:00:00
POS-C-877572-SYGJJFGJK,TOPAZ,C-877572,SYGJJFGJK,CUSIP,,2024-12-31,7991.0,138.7282,1108577.05,1920399.92,-811822.87,,USD,2025-01-02 06:00:00
POS-C-877572-7ZRWQEAO4,TOPAZ,C-877572,7ZRWQEAO4,CUSIP,SEC-0181,2024-12-31,7382.0,121.3169,895561.36,691300.03,204261.33,Equity,USD,2025-01-02 06:00:00
POS-C-877572-IOGXPBWHV,TOPAZ,C-877572,IOGXPBWHV,CUSIP,SEC-0191,2024-12-31,4731.0,36.8577,174373.78,1355205.96,-1180832.18,Real Estate,USD,2025-01-02 06:00:00
POS-C-877572-HKZ2U2TNH,TOPAZ,C-877572,HKZ2U2TNH,CUSIP,SEC-0192,2024-12-31,4539.0,496.627,2254189.95,1478370.12,775819.83,Cash,USD,2025-01-02 06:00:00
POS-C-877572-5SXVWVM4W,TOPAZ,C-877572,5SXVWVM4W,CUSIP,SEC-0193,2024-12-31,1963.0,474.0197,930500.67,376104.41,554396.26,Equity,USD,2025-01-02 06:00:00
POS-C-877572-8RHNUXORZ,TOPAZ,C-877572,8RHNUXORZ,CUSIP,SEC-0196,2024-12-31,7131.0,310.5324,2214406.54,1526035.38,688371.16,Cash,USD,2025-01-02 06:00:00
POS-C-877572-CB1KJTGQ0,TOPAZ,C-877572,CB1KJTGQ0,CUSIP,SEC-0197,2024-12-31,83.0,109.0474,9050.93,23324.23,-14273.3,Cash,USD,2025-01-02 06:00:00
POS-C-877572-E13N3BZT9,TOPAZ,C-877572,E13N3BZT9,CUSIP,,2024-12-31,5442.0,299.327,1628937.53,1849315.48,-220377.95,,USD,2025-01-02 06:00:00
POS-C-334053-NF4ZW9XA3,TOPAZ,C-334053,NF4ZW9XA3,CUSIP,SEC-0003,2024-12-31,1527.0,372.9962,569565.2,625836.67,-56271.47,Alternatives,USD,2025-01-02 06:00:00
POS-C-334053-FZNBQH7M3,TOPAZ,C-334053,FZNBQH7M3,CUSIP,SEC-0009,2024-12-31,5430.0,292.741,1589583.63,251059.35,1338524.28,Cash,USD,2025-01-02 06:00:00
POS-C-334053-RIPZIM6CF,TOPAZ,C-334053,RIPZIM6CF,CUSIP,SEC-0020,2024-12-31,6583.0,361.0511,2376799.39,863151.67,1513647.72,Fixed Income,USD,2025-01-02 06:00:00
POS-C-334053-JRNY20479,TOPAZ,C-334053,JRNY20479,CUSIP,SEC-0023,2024-12-31,5842.0,425.5658,2486155.4,2233989.66,252165.74,Fixed Income,USD,2025-01-02 06:00:00
POS-C-334053-V0E38DALY,TOPAZ,C-334053,V0E38DALY,CUSIP,SEC-0027,2024-12-31,2371.0,438.769,1040321.3,258297.69,782023.61,Alternatives,USD,2025-01-02 06:00:00
POS-C-334053-QPGB7R3OC,TOPAZ,C-334053,QPGB7R3OC,CUSIP,,2024-12-31,6866.0,358.7077,2462887.07,2440254.82,22632.25,,USD,2025-01-02 06:00:00
POS-C-334053-SRCBPLJD8,TOPAZ,C-334053,SRCBPLJD8,CUSIP,SEC-0043,2024-12-31,2410.0,407.745,982665.45,699467.09,283198.36,Commodities,USD,2025-01-02 06:00:00
POS-C-334053-N1W1HT7PZ,TOPAZ,C-334053,N1W1HT7PZ,CUSIP,SEC-0047,2024-12-31,5316.0,292.9771,1557466.26,1312060.51,245405.75,Equity,USD,2025-01-02 06:00:00
POS-C-334053-C5WI6FQJJ,TOPAZ,C-334053,C5WI6FQJJ,CUSIP,,2024-12-31,3700.0,73.0118,270143.66,1452064.74,-1181921.08,,USD,2025-01-02 06:00:00
POS-C-334053-DWB2BNE6L,TOPAZ,C-334053,DWB2BNE6L,CUSIP,SEC-0061,2024-12-31,6417.0,158.6174,1017847.86,1736842.88,-718995.02,Commodities,USD,2025-01-02 06:00:00
POS-C-334053-BCPPVOHSM,TOPAZ,C-334053,BCPPVOHSM,CUSIP,SEC-0082,2024-12-31,6004.0,174.8093,1049555.04,1064099.7,-14544.66,Fixed Income,USD,2025-01-02 06:00:00
POS-C-334053-BA75UUZPE,TOPAZ,C-334053,BA75UUZPE,CUSIP,SEC-0085,2024-12-31,7199.0,254.79,1834233.21,1028421.93,805811.28,Equity,USD,2025-01-02 06:00:00
POS-C-334053-2W37D4IVS,TOPAZ,C-334053,2W37D4IVS,CUSIP,SEC-0086,2024-12-31,3963.0,47.1681,186927.18,1420707.5,-1233780.32,Equity,USD,2025-01-02 06:00:00
POS-C-334053-7UWW5WFCP,TOPAZ,C-334053,7UWW5WFCP,CUSIP,,2024-12-31,5933.0,315.5232,1871999.15,1222508.08,649491.07,,USD,2025-01-02 06:00:00
POS-C-334053-ENLK8AGS6,TOPAZ,C-334053,ENLK8AGS6,CUSIP,,2024-12-31,4580.0,163.0859,746933.42,648563.83,98369.59,,USD,2025-01-02 06:00:00
POS-C-334053-MBR5XQT4P,TOPAZ,C-334053,MBR5XQT4P,CUSIP,SEC-0128,2024-12-31,11411.0,277.7329,3169210.12,1967656.18,1201553.94,Fixed Income,USD,2025-01-02 06:00:00
POS-C-334053-G02U1G463,TOPAZ,C-334053,G02U1G463,CUSIP,SEC-0145,2024-12-31,7797.0,92.7949,723521.84,1994918.23,-1271396.39,Cash,USD,2025-01-02 06:00:00
POS-C-334053-OD9R7ANQJ,TOPAZ,C-334053,OD9R7ANQJ,CUSIP,SEC-0146,2024-12-31,7629.0,165.1842,1260190.26,1935810.97,-675620.71,Real Estate,USD,2025-01-02 06:00:00
POS-C-334053-QZPNIQFG5,TOPAZ,C-334053,QZPNIQFG5,CUSIP,SEC-0155,2024-12-31,2735.0,83.3215,227884.3,1137545.99,-909661.69,Equity,USD,2025-01-02 06:00:00
POS-C-334053-BPT11F9I6,TOPAZ,C-334053,BPT11F9I6,CUSIP,SEC-0157,2024-12-31,4729.0,234.5109,1109002.05,732595.0,376407.05,Equity,USD,2025-01-02 06:00:00
POS-C-334053-9RIVH6T1N,TOPAZ,C-334053,9RIVH6T1N,CUSIP,,2024-12-31,1702.0,65.9321,112216.43,617336.69,-505120.26,,USD,2025-01-02 06:00:00
POS-C-334053-JSRD9Q46N,TOPAZ,C-334053,JSRD9Q46N,CUSIP,SEC-0164,2024-12-31,7324.0,144.1999,1056120.07,1708930.46,-652810.39,Real Estate,USD,2025-01-02 06:00:00
POS-C-334053-WZC4XL996,TOPAZ,C-334053,WZC4XL996,CUSIP,SEC-0172,2024-12-31,4945.0,142.7391,705844.85,1823918.96,-1118074.11,Cash,USD,2025-01-02 06:00:00
POS-C-334053-5SXVWVM4W,TOPAZ,C-334053,5SXVWVM4W,CUSIP,SEC-0193,2024-12-31,1617.0,474.0197,766489.85,230077.7,536412.15,Equity,USD,2025-01-02 06:00:00
POS-C-334053-8RHNUXORZ,TOPAZ,C-334053,8RHNUXORZ,CUSIP,SEC-0196,2024-12-31,6391.0,310.5324,1984612.57,1715217.57,269395.0,Cash,USD,2025-01-02 06:00:00
POS-C-809570-EP7Y6WKTA,TOPAZ,C-809570,EP7Y6WKTA,CUSIP,SEC-0014,2024-12-31,5619.0,137.8821,774759.52,753391.3,21368.22,Cash,USD,2025-01-02 06:00:00
POS-C-809570-WZS3T60RJ,TOPAZ,C-809570,WZS3T60RJ,CUSIP,,2024-12-31,10488.0,166.5542,1746820.45,1714329.44,32491.01,,USD,2025-01-02 06:00:00
POS-C-809570-JRNY20479,TOPAZ,C-809570,JRNY20479,CUSIP,SEC-0023,2024-12-31,4044.0,425.5658,1720988.1,763003.73,957984.37,Fixed Income,USD,2025-01-02 06:00:00
POS-C-809570-13JCAT9MX,TOPAZ,C-809570,13JCAT9MX,CUSIP,SEC-0025,2024-12-31,88.0,22.7974,2006.17,10991.87,-8985.7,Alternatives,USD,2025-01-02 06:00:00
POS-C-809570-KQ1UYMRLR,TOPAZ,C-809570,KQ1UYMRLR,CUSIP,SEC-0031,2024-12-31,3328.0,246.2162,819407.51,1198241.08,-378833.57,Alternatives,USD,2025-01-02 06:00:00
POS-C-809570-ZQAKOIXNT,TOPAZ,C-809570,ZQAKOIXNT,CUSIP,SEC-0033,2024-12-31,4307.0,250.6117,1079384.59,1746580.7,-667196.11,Fixed Income,USD,2025-01-02 06:00:00
POS-C-809570-3U1GSPK9P,TOPAZ,C-809570,3U1GSPK9P,CUSIP,SEC-0044,2024-12-31,8046.0,259.9977,2091941.49,2205381.2,-113439.71,Real Estate,USD,2025-01-02 06:00:00
POS-C-809570-N1W1HT7PZ,TOPAZ,C-809570,N1W1HT7PZ,CUSIP,SEC-0047,2024-12-31,6023.0,292.9771,1764601.07,1080553.86,684047.21,Equity,USD,2025-01-02 06:00:00
POS-C-809570-J2O7S3KKV,TOPAZ,C-809570,J2O7S3KKV,CUSIP,SEC-0050,2024-12-31,673.0,332.8829,224030.19,309659.14,-85628.95,Real Estate,USD,2025-01-02 06:00:00
POS-C-809570-C5WI6FQJJ,TOPAZ,C-809570,C5WI6FQJJ,CUSIP,,2024-12-31,4280.0,73.0118,312490.5,705644.03,-393153.53,,USD,2025-01-02 06:00:00
POS-C-809570-YFPMVXPJ4,TOPAZ,C-809570,YFPMVXPJ4,CUSIP,SEC-0058,2024-12-31,3782.0,396.2015,1498434.07,1567269.88,-68835.81,Equity,USD,2025-01-02 06:00:00
POS-C-809570-0FODRO8BN,TOPAZ,C-809570,0FODRO8BN,CUSIP,SEC-0067,2024-12-31,2421.0,274.8063,665306.05,134477.11,530828.94,Commodities,USD,2025-01-02 06:00:00
POS-C-809570-PXNF7C3DD,TOPAZ,C-809570,PXNF7C3DD,CUSIP,,2024-12-31,3362.0,303.409,1020061.06,614580.02,405481.04,,USD,2025-01-02 06:00:00
POS-C-809570-UVULEMX15,TOPAZ,C-809570,UVULEMX15,CUSIP,SEC-0077,2024-12-31,5663.0,79.6971,451324.68,635907.39,-184582.71,Commodities,USD,2025-01-02 06:00:00
POS-C-809570-3493WXA73,TOPAZ,C-809570,3493WXA73,CUSIP,,2024-12-31,2311.0,400.0453,924504.69,657419.18,267085.51,,USD,2025-01-02 06:00:00
POS-C-809570-BA75UUZPE,TOPAZ,C-809570,BA75UUZPE,CUSIP,SEC-0085,2024-12-31,589.0,254.79,150071.31,113798.51,36272.8,Equity,USD,2025-01-02 06:00:00
POS-C-809570-2W37D4IVS,TOPAZ,C-809570,2W37D4IVS,CUSIP,SEC-0086,2024-12-31,4468.0,47.1681,210747.07,1363260.07,-1152513.0,Equity,USD,2025-01-02 06:00:00
POS-C-809570-U80B6UGVS,TOPAZ,C-809570,U80B6UGVS,CUSIP,SEC-0091,2024-12-31,7121.0,382.7205,2725352.68,1968674.36,756678.32,Real Estate,USD,2025-01-02 06:00:00
POS-C-809570-349DXBZ9S,TOPAZ,C-809570,349DXBZ9S,CUSIP,SEC-0092,2024-12-31,4264.0,480.8025,2050141.86,319051.9,1731089.96,Equity,USD,2025-01-02 06:00:00
POS-C-809570-YSAL8M1G9,TOPAZ,C-809570,YSAL8M1G9,CUSIP,,2024-12-31,503.0,36.3776,18297.93,182872.69,-164574.76,,USD,2025-01-02 06:00:00
POS-C-809570-MMX3Y9RGE,TOPAZ,C-809570,MMX3Y9RGE,CUSIP,SEC-0108,2024-12-31,4786.0,104.913,502113.62,1395410.35,-893296.73,Alternatives,USD,2025-01-02 06:00:00
POS-C-809570-5COZROOUE,TOPAZ,C-809570,5COZROOUE,CUSIP,SEC-0119,2024-12-31,3750.0,385.1646,1444367.25,1673659.92,-229292.67,Real Estate,USD,2025-01-02 06:00:00
POS-C-809570-FFLZM764J,TOPAZ,C-809570,FFLZM764J,CUSIP,SEC-0121,2024-12-31,9331.0,408.8894,3815346.99,3612286.43,203060.56,Equity,USD,2025-01-02 06:00:00
POS-C-809570-WWDXVUGW6,TOPAZ,C-809570,WWDXVUGW6,CUSIP,SEC-0122,2024-12-31,1905.0,466.5678,888811.66,654447.32,234364.34,Commodities,USD,2025-01-02 06:00:00
POS-C-809570-1NOUHTCS1,TOPAZ,C-809570,1NOUHTCS1,CUSIP,SEC-0129,2024-12-31,5623.0,95.2931,535833.1,1594315.82,-1058482.72,Alternatives,USD,2025-01-02 06:00:00
POS-C-809570-VEDN9UNFV,TOPAZ,C-809570,VEDN9UNFV,CUSIP,SEC-0130,2024-12-31,5673.0,454.936,2580851.93,2251715.31,329136.62,Alternatives,USD,2025-01-02 06:00:00
POS-C-809570-2G05KBKV7,TOPAZ,C-809570,2G05KBKV7,CUSIP,SEC-0143,2024-12-31,4945.0,430.4931,2128788.38,730886.0,1397902.38,Fixed Income,USD,2025-01-02 06:00:00
POS-C-809570-9TR74QGEF,TOPAZ,C-809570,9TR74QGEF,CUSIP,SEC-0144,2024-12-31,10979.0,248.3054,2726144.99,1852629.99,873515.0,Alternatives,USD,2025-01-02 06:00:00
POS-C-809570-231YV2STN,TOPAZ,C-809570,231YV2STN,CUSIP,SEC-0149,2024-12-31,9327.0,173.3514,1616848.51,3450057.17,-1833208.66,Cash,USD,2025-01-02 06:00:00
POS-C-809570-36HTF4PYZ,TOPAZ,C-809570,36HTF4PYZ,CUSIP,SEC-0150,2024-12-31,8317.0,215.6808,1793817.21,2022312.93,-228495.72,Real Estate,USD,2025-01-02 06:00:00
POS-C-809570-YUBMXNSZO,TOPAZ,C-809570,YUBMXNSZO,CUSIP,,2024-12-31,5893.0,133.8173,788585.35,934069.9,-145484.55,,USD,2025-01-02 06:00:00
POS-C-809570-9RIVH6T1N,TOPAZ,C-809570,9RIVH6T1N,CUSIP,,2024-12-31,4704.0,65.9321,310144.6,1559423.42,-1249278.82,,USD,2025-01-02 06:00:00
POS-C-809570-ZR7TXCB48,TOPAZ,C-809570,ZR7TXCB48,CUSIP,SEC-0167,2024-12-31,3128.0,110.1061,344411.88,1024682.1,-680270.22,Alternatives,USD,2025-01-02 06:00:00
POS-C-809570-O4IZASNWY,TOPAZ,C-809570,O4IZASNWY,CUSIP,SEC-0168,2024-12-31,2735.0,28.3408,77512.09,670083.02,-592570.93,Commodities,USD,2025-01-02 06:00:00
POS-C-809570-RATATJ9A3,TOPAZ,C-809570,RATATJ9A3,CUSIP,SEC-0169,2024-12-31,2205.0,386.7892,852870.19,421660.13,431210.06,Real Estate,USD,2025-01-02 06:00:00
POS-C-809570-IZK3C9XBO,TOPAZ,C-809570,IZK3C9XBO,CUSIP,SEC-0171,2024-12-31,5047.0,265.1491,1338207.51,1098728.39,239479.12,Cash,USD,2025-01-02 06:00:00
POS-C-809570-WZC4XL996,TOPAZ,C-809570,WZC4XL996,CUSIP,SEC-0172,2024-12-31,9103.0,142.7391,1299354.03,1503347.76,-203993.73,Cash,USD,2025-01-02 06:00:00
POS-C-809570-1F90S9BP4,TOPAZ,C-809570,1F90S9BP4,CUSIP,SEC-0175,2024-12-31,4318.0,113.0566,488178.4,1095470.25,-607291.85,Cash,USD,2025-01-02 06:00:00
POS-C-809570-7ZRWQEAO4,TOPAZ,C-809570,7ZRWQEAO4,CUSIP,SEC-0181,2024-12-31,5531.0,121.3169,671003.77,1715102.74,-1044098.97,Equity,USD,2025-01-02 06:00:00
POS-C-809570-B8Z3V6DIX,TOPAZ,C-809570,B8Z3V6DIX,CUSIP,SEC-0186,2024-12-31,6106.0,428.3974,2615794.52,1915988.5,699806.02,Real Estate,USD,2025-01-02 06:00:00
POS-C-809570-9YO18PAJS,TOPAZ,C-809570,9YO18PAJS,CUSIP,SEC-0187,2024-12-31,7278.0,337.3178,2454998.95,1053744.54,1401254.41,Fixed Income,USD,2025-01-02 06:00:00
POS-C-809570-FLQHRRPZL,TOPAZ,C-809570,FLQHRRPZL,CUSIP,SEC-0189,2024-12-31,11641.0,396.7973,4619117.37,3190150.61,1428966.76,Equity,USD,2025-01-02 06:00:00
POS-C-809570-IOGXPBWHV,TOPAZ,C-809570,IOGXPBWHV,CUSIP,SEC-0191,2024-12-31,6543.0,36.8577,241159.93,2003306.26,-1762146.33,Real Estate,USD,2025-01-02 06:00:00
POS-C-809570-HKZ2U2TNH,TOPAZ,C-809570,HKZ2U2TNH,CUSIP,SEC-0192,2024-12-31,3237.0,496.627,1607581.6,1043773.41,563808.19,Cash,USD,2025-01-02 06:00:00
POS-C-719176-L1CQ99CHJ,TOPAZ,C-719176,L1CQ99CHJ,CUSIP,SEC-0002,2024-12-31,3904.0,63.2187,246805.8,850198.54,-603392.74,Commodities,USD,2025-01-02 06:00:00
POS-C-719176-R64DPJA1W,TOPAZ,C-719176,R64DPJA1W,CUSIP,SEC-0005,2024-12-31,2232.0,92.9838,207539.84,608151.7,-400611.86,Commodities,USD,2025-01-02 06:00:00
POS-C-719176-EL6246HID,TOPAZ,C-719176,EL6246HID,CUSIP,,2024-12-31,5400.0,408.3913,2205313.02,1704161.61,501151.41,,USD,2025-01-02 06:00:00
POS-C-719176-XOKC1MSY4,TOPAZ,C-719176,XOKC1MSY4,CUSIP,SEC-0010,2024-12-31,4349.0,61.8965,269187.88,402344.74,-133156.86,Fixed Income,USD,2025-01-02 06:00:00
POS-C-719176-6GBPS3Y70,TOPAZ,C-719176,6GBPS3Y70,CUSIP,SEC-0012,2024-12-31,7157.0,288.9028,2067677.34,725021.01,1342656.33,Real Estate,USD,2025-01-02 06:00:00
POS-C-719176-EP7Y6WKTA,TOPAZ,C-719176,EP7Y6WKTA,CUSIP,SEC-0014,2024-12-31,1657.0,137.8821,228470.64,51838.91,176631.73,Cash,USD,2025-01-02 06:00:00
POS-C-719176-4COWGZRIX,TOPAZ,C-719176,4COWGZRIX,CUSIP,SEC-0017,2024-12-31,8682.0,57.794,501767.51,2300118.65,-1798351.14,Fixed Income,USD,2025-01-02 06:00:00
POS-C-719176-WZS3T60RJ,TOPAZ,C-719176,WZS3T60RJ,CUSIP,,2024-12-31,6004.0,166.5542,999991.42,968967.04,31024.38,,USD,2025-01-02 06:00:00
POS-C-719176-JRNY20479,TOPAZ,C-719176,JRNY20479,CUSIP,SEC-0023,2024-12-31,6568.0,425.5658,2795116.17,1867723.75,927392.42,Fixed Income,USD,2025-01-02 06:00:00
POS-C-719176-V0E38DALY,TOPAZ,C-719176,V0E38DALY,CUSIP,SEC-0027,2024-12-31,5107.0,438.769,2240793.28,1462785.76,778007.52,Alternatives,USD,2025-01-02 06:00:00
POS-C-719176-HV3IZKY22,TOPAZ,C-719176,HV3IZKY22,CUSIP,SEC-0028,2024-12-31,7551.0,209.7292,1583665.19,2202924.9,-619259.71,Cash,USD,2025-01-02 06:00:00
POS-C-719176-KQ1UYMRLR,TOPAZ,C-719176,KQ1UYMRLR,CUSIP,SEC-0031,2024-12-31,9327.0,246.2162,2296458.5,3231754.16,-935295.66,Alternatives,USD,2025-01-02 06:00:00
POS-C-719176-XFGCAQVKI,TOPAZ,C-719176,XFGCAQVKI,CUSIP,SEC-0040,2024-12-31,4082.0,429.0361,1751325.36,1258660.27,492665.09,Commodities,USD,2025-01-02 06:00:00
POS-C-719176-DJE153A5Q,TOPAZ,C-719176,DJE153A5Q,CUSIP,SEC-0046,2024-12-31,6656.0,471.1659,3136080.23,1768283.25,1367796.98,Real Estate,USD,2025-01-02 06:00:00
POS-C-719176-8LD4D6AF5,TOPAZ,C-719176,8LD4D6AF5,CUSIP,SEC-0053,2024-12-31,3014.0,302.8683,912845.06,919047.97,-6202.91,Equity,USD,2025-01-02 06:00:00
POS-C-719176-2JWOCLYT8,TOPAZ,C-719176,2JWOCLYT8,CUSIP,SEC-0054,2024-12-31,2667.0,367.2708,979511.22,1119867.2,-140355.98,Fixed Income,USD,2025-01-02 06:00:00
POS-C-719176-BCW790PDW,TOPAZ,C-719176,BCW790PDW,CUSIP,SEC-0055,2024-12-31,4050.0,278.1124,1126355.22,1345525.5,-219170.28,Commodities,USD,2025-01-02 06:00:00
