lotId,portfolioId,securityTicker,positionDate,quantity,unitPrice,marketValue,lotCostBasis,unrealizedPnL,ccy
LOT-0000029,PORT-0001,C1,2024-12-31,695.0,367.5989,255481.24,324997.98,-69516.74,USD
LOT-0000030,PORT-0001,C1,2024-12-31,1628.0,366.8806,597281.62,352011.21,245270.41,USD
LOT-0000031,PORT-0001,C9,2024-12-31,1970.0,135.9373,267796.48,941033.54,-673237.06,USD
LOT-0000032,PORT-0001,C9,2024-12-31,1112.0,135.3841,150547.12,18635.79,131911.33,USD
LOT-0000033,PORT-0001,C9,2024-12-31,1288.0,135.3796,174368.92,264050.05,-89681.13,USD
LOT-0000034,PORT-0001,WLL,2024-12-31,2205.0,350.2735,772353.07,111109.07,661244.0,USD
LOT-0000035,PORT-0001,WLL,2024-12-31,468.0,350.0604,163828.27,23850.5,139977.77,USD
LOT-0000036,PORT-0001,WLL,2024-12-31,1349.0,350.692,473083.51,116195.85,356887.66,USD
LOT-0000037,PORT-0001,MPI,2024-12-31,1832.0,271.0567,496575.87,767457.78,-270881.91,USD
LOT-0000038,PORT-0001,JLI,2024-12-31,1249.0,28.3266,35379.92,158538.44,-123158.52,USD
LOT-0000039,PORT-0001,JLI,2024-12-31,2018.0,28.285,57079.13,468483.14,-411404.01,USD
LOT-0000040,PORT-0001,BAOS,2024-12-31,487.0,250.0787,121788.33,161901.06,-40112.73,USD
LOT-0000041,PORT-0001,CAJA,2024-12-31,2374.0,138.5331,328877.58,1132345.53,-803467.95,USD
LOT-0000042,PORT-0001,CAJA,2024-12-31,1682.0,139.1134,233988.74,230486.14,3502.6,USD
LOT-0000043,PORT-0001,CAJA,2024-12-31,3935.0,138.7146,545841.95,557568.25,-11726.3,USD
LOT-0000044,PORT-0001,SABS,2024-12-31,1679.0,39.0896,65631.44,292406.92,-226775.48,USD
LOT-0000045,PORT-0001,SABS,2024-12-31,1576.0,39.1329,61673.45,565844.52,-504171.07,USD
LOT-0000046,PORT-0001,SABS,2024-12-31,346.0,39.0706,13518.43,90057.95,-76539.52,USD
LOT-0000047,PORT-0001,I3,2024-12-31,2508.0,61.277,153682.72,151541.89,2140.83,USD
LOT-0000048,PORT-0001,I3,2024-12-31,105.0,61.4032,6447.34,39163.13,-32715.79,USD
LOT-0000049,PORT-0001,I3,2024-12-31,1668.0,61.2372,102143.65,216556.77,-114413.12,USD
LOT-0000050,PORT-0001,MARC,2024-12-31,2488.0,58.6207,145848.3,243054.96,-97206.66,USD
LOT-0000051,PORT-0001,MARC,2024-12-31,2646.0,58.6786,155263.58,1211429.82,-1056166.24,USD
LOT-0000052,PORT-0001,MARC,2024-12-31,3028.0,58.6731,177662.15,398633.17,-220971.02,USD
LOT-0000053,PORT-0001,SPA,2024-12-31,2665.0,298.9534,796710.81,682240.27,114470.54,USD
LOT-0000054,PORT-0001,SPA,2024-12-31,228.0,298.7712,68119.83,59902.28,8217.55,USD
LOT-0000055,PORT-0001,SPA,2024-12-31,2549.0,299.7088,763957.73,1107172.93,-343215.2,USD
LOT-0000056,PORT-0001,C17,2024-12-31,83.0,109.0454,9050.77,23324.23,-14273.46,USD
LOT-0000057,PORT-0001,P11,2024-12-31,1878.0,36.8036,69117.16,242010.72,-172893.56,USD
LOT-0000058,PORT-0001,P11,2024-12-31,2853.0,36.9166,105323.06,1113195.24,-1007872.18,USD
LOT-0000059,PORT-0001,RASI,2024-12-31,92.0,109.7757,10099.36,11970.32,-1870.96,USD
LOT-0000060,PORT-0001,RASI,2024-12-31,2723.0,109.5566,298322.62,749797.38,-451474.76,USD
LOT-0000061,PORT-0001,HPI,2024-12-31,3679.0,279.5367,1028415.52,1221718.27,-193302.75,USD
LOT-0000062,PORT-0001,HPI,2024-12-31,3491.0,280.3627,978746.19,385913.29,592832.9,USD
LOT-0000063,PORT-0001,HPI,2024-12-31,511.0,280.5249,143348.22,248629.09,-105280.87,USD
LOT-0000064,PORT-0001,KASL,2024-12-31,3417.0,359.3794,1227999.41,1576687.52,-348688.11,USD
LOT-0000065,PORT-0001,KASL,2024-12-31,2050.0,357.9536,733804.88,920108.06,-186303.18,USD
LOT-0000066,PORT-0001,KASL,2024-12-31,686.0,359.4927,246611.99,38987.23,207624.76,USD
LOT-0000067,PORT-0001,SAHS,2024-12-31,478.0,132.7032,63432.13,159937.61,-96505.48,USD
LOT-0000068,PORT-0001,SAHS,2024-12-31,3422.0,132.6047,453773.28,562420.76,-108647.48,USD
LOT-0000069,PORT-0001,SAHS,2024-12-31,1430.0,132.2629,189135.95,242904.52,-53768.57,USD
LOT-0000070,PORT-0001,SAHS,2024-12-31,2148.0,132.4006,284396.49,164740.43,119656.06,USD
LOT-0000071,PORT-0001,RAGI,2024-12-31,1677.0,204.9952,343776.95,151841.78,191935.17,USD
LOT-0000072,PORT-0001,RAGI,2024-12-31,2813.0,205.7959,578903.87,521982.53,56921.34,USD
LOT-0000073,PORT-0001,RAGI,2024-12-31,398.0,205.1265,81640.35,55661.85,25978.5,USD
LOT-0000074,PORT-0001,S12,2024-12-31,1071.0,474.1374,507801.16,327317.09,180484.07,USD
LOT-0000075,PORT-0001,S12,2024-12-31,892.0,474.4016,423166.23,48787.32,374378.91,USD
LOT-0000076,PORT-0001,P7,2024-12-31,1423.0,351.3939,500033.52,48361.79,451671.73,USD
LOT-0000077,PORT-0001,JAWS,2024-12-31,2353.0,476.498,1121199.79,544904.45,576295.34,USD
LOT-0000078,PORT-0001,JAWS,2024-12-31,2237.0,476.4038,1065715.3,134073.7,931641.6,USD
LOT-0000079,PORT-0001,JAWS,2024-12-31,2779.0,477.9669,1328270.02,1158516.19,169753.83,USD
LOT-0000080,PORT-0001,JAWS,2024-12-31,3355.0,476.5146,1598706.48,692086.51,906619.97,USD
LOT-0000081,PORT-0001,L5,2024-12-31,1240.0,289.2723,358697.65,366219.99,-7522.34,USD
LOT-0000082,PORT-0001,L5,2024-12-31,880.0,288.2989,253703.03,438776.01,-185072.98,USD
LOT-0000083,PORT-0001,L5,2024-12-31,4148.0,288.915,1198419.42,303251.57,895167.85,USD
LOT-0000084,PORT-0001,L5,2024-12-31,2478.0,288.0212,713716.53,173555.65,540160.88,USD
LOT-0000085,PORT-0001,L5,2024-12-31,2730.0,288.1395,786620.83,606733.22,179887.61,USD
LOT-0000086,PORT-0001,HAWL,2024-12-31,651.0,157.7875,102719.66,75002.3,27717.36,USD
LOT-0000087,PORT-0001,HAWL,2024-12-31,1952.0,157.091,306641.63,52661.45,253980.18,USD
LOT-0000088,PORT-0001,JAWA,2024-12-31,3273.0,360.8837,1181172.35,832837.43,348334.92,USD
LOT-0000089,PORT-0001,JAWA,2024-12-31,463.0,361.9744,167594.15,68102.76,99491.39,USD
LOT-0000090,PORT-0001,JAWA,2024-12-31,2875.0,360.4682,1036346.08,769490.59,266855.49,USD
LOT-0000091,PORT-0001,S9,2024-12-31,2182.0,65.9816,143971.85,784541.59,-640569.74,USD
LOT-0000092,PORT-0001,S9,2024-12-31,1779.0,65.8007,117059.45,813379.61,-696320.16,USD
LOT-0000093,PORT-0001,S9,2024-12-31,1557.0,65.8151,102474.11,35454.29,67019.82,USD
LOT-0000094,PORT-0001,WALP,2024-12-31,385.0,469.8548,180894.1,150721.26,30172.84,USD
LOT-0000095,PORT-0001,PABC,2024-12-31,490.0,25.0209,12260.24,238752.55,-226492.31,USD
LOT-0000096,PORT-0001,YLS,2024-12-31,3454.0,495.4439,1711263.23,937788.29,773474.94,USD
LOT-0000097,PORT-0001,YLS,2024-12-31,1085.0,496.661,538877.19,540581.83,-1704.64,USD
LOT-0000098,PORT-0001,MAPS,2024-12-31,588.0,268.1205,157654.85,291563.03,-133908.18,USD
LOT-0000099,PORT-0001,MAPS,2024-12-31,3367.0,268.1729,902938.15,1363779.78,-460841.63,USD
LOT-0000100,PORT-0001,MAPS,2024-12-31,1429.0,267.9159,382851.82,506854.73,-124002.91,USD
LOT-0000101,PORT-0001,TABC,2024-12-31,1016.0,323.7953,328976.02,290498.17,38477.85,USD
LOT-0000102,PORT-0001,TABC,2024-12-31,498.0,323.3758,161041.15,137269.27,23771.88,USD
LOT-0000103,PORT-0001,I7,2024-12-31,99.0,393.8499,38991.14,26528.02,12463.12,USD
LOT-0000104,PORT-0001,I7,2024-12-31,1042.0,394.3312,410893.11,422174.95,-11281.84,USD
LOT-0000105,PORT-0001,I7,2024-12-31,861.0,395.1186,340197.11,364805.01,-24607.9,USD
LOT-0000106,PORT-0001,I7,2024-12-31,441.0,394.0367,173770.18,156687.83,17082.35,USD
LOT-0000107,PORT-0001,A6,2024-12-31,3301.0,435.9614,1439108.58,1425134.13,13974.45,USD
LOT-0000108,PORT-0001,A6,2024-12-31,387.0,437.5853,169345.51,78886.78,90458.73,USD
LOT-0000109,PORT-0001,A6,2024-12-31,2650.0,437.4358,1159204.87,1293655.0,-134450.13,USD
LOT-0000110,PORT-0001,SAML,2024-12-31,4104.0,275.4893,1130608.09,391354.57,739253.52,USD
LOT-0000111,PORT-0001,SAML,2024-12-31,949.0,275.0412,261014.1,375449.07,-114434.97,USD
LOT-0000112,PORT-0001,A8,2024-12-31,2393.0,173.0999,414228.06,467611.82,-53383.76,USD
LOT-0000113,PORT-0001,A8,2024-12-31,4627.0,173.6787,803611.34,1698697.55,-895086.21,USD
LOT-0000114,PORT-0002,I9,2024-12-31,2361.0,165.313,390303.99,266191.65,124112.34,USD
LOT-0000115,PORT-0002,I9,2024-12-31,73.0,164.8001,12030.41,4594.4,7436.01,USD
LOT-0000116,PORT-0002,I9,2024-12-31,647.0,164.7353,106583.74,139512.67,-32928.93,USD
LOT-0000117,PORT-0002,I9,2024-12-31,1773.0,164.7319,292069.66,322869.15,-30799.49,USD
LOT-0000118,PORT-0002,I9,2024-12-31,2775.0,164.9802,457820.05,1202643.1,-744823.05,USD
LOT-0000119,PORT-0002,HASL,2024-12-31,125.0,293.0005,36625.06,3296.54,33328.52,USD
LOT-0000120,PORT-0002,HASL,2024-12-31,642.0,292.4091,187726.64,29761.96,157964.68,USD
LOT-0000121,PORT-0002,HASL,2024-12-31,4663.0,293.5504,1368825.52,218000.85,1150824.67,USD
LOT-0000122,PORT-0002,A2,2024-12-31,2303.0,292.8129,674348.11,693375.72,-19027.61,USD
LOT-0000123,PORT-0002,A2,2024-12-31,2654.0,293.797,779737.24,587458.65,192278.59,USD
LOT-0000124,PORT-0002,A2,2024-12-31,359.0,293.5432,105382.01,31226.14,74155.87,USD
LOT-0000125,PORT-0002,L9,2024-12-31,2281.0,83.1979,189774.41,1057314.44,-867540.03,USD
LOT-0000126,PORT-0002,L9,2024-12-31,270.0,83.3773,22511.87,34127.65,-11615.78,USD
LOT-0000127,PORT-0002,L9,2024-12-31,184.0,83.1578,15301.04,46103.9,-30802.86,USD
LOT-0000128,PORT-0002,MASA,2024-12-31,2676.0,175.0214,468357.27,412984.94,55372.33,USD
LOT-0000129,PORT-0002,MASA,2024-12-31,912.0,174.3822,159036.57,52461.52,106575.05,USD
LOT-0000130,PORT-0002,MASA,2024-12-31,594.0,175.0434,103975.78,143777.46,-39801.68,USD
LOT-0000131,PORT-0002,MASA,2024-12-31,1822.0,175.1465,319116.92,454875.78,-135758.86,USD
LOT-0000132,PORT-0002,CGS,2024-12-31,1443.0,234.7503,338744.68,275622.81,63121.87,USD
LOT-0000133,PORT-0002,CGS,2024-12-31,3286.0,233.8995,768593.76,456972.19,311621.57,USD
LOT-0000134,PORT-0002,NAFC,2024-12-31,1830.0,72.8827,133375.34,692829.22,-559453.88,USD
LOT-0000135,PORT-0002,NAFC,2024-12-31,1870.0,72.8193,136172.09,759235.52,-623063.43,USD
LOT-0000136,PORT-0002,MACL,2024-12-31,1651.0,144.474,238526.57,678591.71,-440065.14,USD
LOT-0000137,PORT-0002,MACL,2024-12-31,1795.0,143.7687,258064.82,841526.69,-583461.87,USD
LOT-0000138,PORT-0002,MACL,2024-12-31,3878.0,144.1388,558970.27,188812.06,370158.21,USD
LOT-0000139,PORT-0002,KAGS,2024-12-31,2068.0,92.7136,191731.72,599508.65,-407776.93,USD
LOT-0000140,PORT-0002,KAGS,2024-12-31,3442.0,92.6217,318803.89,283102.43,35701.46,USD
LOT-0000141,PORT-0002,KAGS,2024-12-31,2287.0,92.9077,212479.91,1112307.15,-899827.24,USD
LOT-0000142,PORT-0002,BAMA,2024-12-31,2371.0,439.9156,1043039.89,258297.69,784742.2,USD
LOT-0000143,PORT-0002,OAGA,2024-12-31,4367.0,277.0561,1209903.99,595502.9,614401.09,USD
LOT-0000144,PORT-0002,OAGA,2024-12-31,2193.0,277.4943,608545.0,115446.98,493098.02,USD
LOT-0000145,PORT-0002,OAGA,2024-12-31,2197.0,277.8839,610510.93,319308.46,291202.47,USD
LOT-0000146,PORT-0002,OAGA,2024-12-31,2654.0,278.5352,739232.42,937397.84,-198165.42,USD
LOT-0000147,PORT-0002,KASL,2024-12-31,3701.0,357.7424,1324004.62,1103222.58,220782.04,USD
LOT-0000148,PORT-0002,KASL,2024-12-31,383.0,359.0991,137534.96,109428.84,28106.12,USD
LOT-0000149,PORT-0002,KASL,2024-12-31,2782.0,358.5001,997347.28,1227603.4,-230256.12,USD
LOT-0000150,PORT-0002,S3,2024-12-31,1600.0,255.014,408022.4,396698.4,11324.0,USD
LOT-0000151,PORT-0002,S3,2024-12-31,2630.0,255.2325,671261.47,545612.44,125649.03,USD
LOT-0000152,PORT-0002,S3,2024-12-31,2969.0,255.5049,758594.05,86111.09,672482.96,USD
LOT-0000153,PORT-0002,JAWA,2024-12-31,181.0,361.059,65351.68,81367.72,-16016.04,USD
LOT-0000154,PORT-0002,JAWA,2024-12-31,3930.0,361.353,1420117.29,638095.24,782022.05,USD
LOT-0000155,PORT-0002,JAWA,2024-12-31,2472.0,361.4135,893414.17,143688.71,749725.46,USD
LOT-0000156,PORT-0002,S1,2024-12-31,2632.0,158.9673,418401.93,597790.89,-179388.96,USD
LOT-0000157,PORT-0002,S1,2024-12-31,388.0,158.1424,61359.25,118898.64,-57539.39,USD
LOT-0000158,PORT-0002,S1,2024-12-31,1876.0,159.0702,298415.7,393047.33,-94631.63,USD
LOT-0000159,PORT-0002,S1,2024-12-31,1521.0,158.1807,240592.84,627106.02,-386513.18,USD
LOT-0000160,PORT-0002,GLS,2024-12-31,2093.0,316.3079,662032.43,821404.34,-159371.91,USD
LOT-0000161,PORT-0002,GLS,2024-12-31,3840.0,316.0615,1213676.16,401103.74,812572.42,USD
LOT-0000162,PORT-0002,WIL,2024-12-31,237.0,309.8792,73441.37,6210.54,67230.83,USD
LOT-0000163,PORT-0002,WIL,2024-12-31,3112.0,311.2899,968734.17,448902.89,519831.28,USD
LOT-0000164,PORT-0002,WIL,2024-12-31,2135.0,310.1998,662276.57,987023.31,-324746.74,USD
LOT-0000165,PORT-0002,WIL,2024-12-31,907.0,309.8025,280990.87,273080.83,7910.04,USD
LOT-0000166,PORT-0002,GLL,2024-12-31,1251.0,406.9411,509083.32,525983.33,-16900.01,USD
LOT-0000167,PORT-0002,GLL,2024-12-31,1159.0,406.6019,471251.6,173483.76,297767.84,USD
LOT-0000168,PORT-0002,S9,2024-12-31,702.0,65.9333,46285.18,275265.99,-228980.81,USD
LOT-0000169,PORT-0002,S9,2024-12-31,1000.0,65.7933,65793.3,342070.7,-276277.4,USD
LOT-0000170,PORT-0002,C,2024-12-31,1372.0,425.3541,583585.83,472349.28,111236.55,USD
LOT-0000171,PORT-0002,C,2024-12-31,88.0,425.3327,37429.28,26801.24,10628.04,USD
LOT-0000172,PORT-0002,C,2024-12-31,3070.0,424.6952,1303814.26,1449262.27,-145448.01,USD
LOT-0000173,PORT-0002,C,2024-12-31,1312.0,424.6813,557181.87,285576.87,271605.0,USD
LOT-0000174,PORT-0002,SAHI,2024-12-31,1202.0,142.808,171655.22,140540.72,31114.5,USD
LOT-0000175,PORT-0002,SAHI,2024-12-31,454.0,142.3525,64628.03,92890.53,-28262.5,USD
LOT-0000176,PORT-0002,SAHI,2024-12-31,3289.0,142.8002,469669.86,1590487.71,-1120817.85,USD
LOT-0000177,PORT-0002,S12,2024-12-31,411.0,474.7201,195109.96,25881.16,169228.8,USD
LOT-0000178,PORT-0002,S12,2024-12-31,1206.0,474.525,572277.15,204196.54,368080.61,USD
LOT-0000179,PORT-0002,C7,2024-12-31,737.0,47.1365,34739.6,115272.4,-80532.8,USD
LOT-0000180,PORT-0002,C7,2024-12-31,3226.0,47.0352,151735.56,1305435.1,-1153699.54,USD
LOT-0000181,PORT-0002,HABA,2024-12-31,1643.0,162.709,267330.89,36923.3,230407.59,USD
LOT-0000182,PORT-0002,HABA,2024-12-31,2937.0,162.7875,478106.89,611640.53,-133533.64,USD
LOT-0000183,PORT-0002,GADC,2024-12-31,1527.0,372.5431,568873.31,625836.67,-56963.36,USD
LOT-0000184,PORT-0003,C10,2024-12-31,1905.0,465.4023,886591.38,654447.32,232144.06,USD
LOT-0000185,PORT-0003,SAHI,2024-12-31,4672.0,142.487,665699.26,831187.11,-165487.85,USD
LOT-0000186,PORT-0003,SAHI,2024-12-31,2553.0,142.6537,364194.9,204699.03,159495.87,USD
LOT-0000187,PORT-0003,SAHI,2024-12-31,1878.0,142.7735,268128.63,467461.62,-199332.99,USD
LOT-0000188,PORT-0003,HAPI,2024-12-31,1400.0,482.0936,674931.04,53797.38,621133.66,USD
LOT-0000189,PORT-0003,HAPI,2024-12-31,2864.0,480.1495,1375148.17,265254.52,1109893.65,USD
LOT-0000190,PORT-0003,S7,2024-12-31,1575.0,453.8822,714864.46,350466.79,364397.67,USD
LOT-0000191,PORT-0003,S7,2024-12-31,171.0,455.0115,77806.97,33828.07,43978.9,USD
LOT-0000192,PORT-0003,S7,2024-12-31,3927.0,455.3917,1788323.21,1867420.45,-79097.24,USD
LOT-0000193,PORT-0003,CIC,2024-12-31,2778.0,79.6776,221344.37,287196.86,-65852.49,USD
LOT-0000194,PORT-0003,CIC,2024-12-31,2885.0,79.7064,229952.96,348710.53,-118757.57,USD
LOT-0000195,PORT-0003,HASS,2024-12-31,2685.0,260.6364,699808.73,246590.13,453218.6,USD
LOT-0000196,PORT-0003,HASS,2024-12-31,2019.0,259.8305,524597.78,471242.47,53355.31,USD
LOT-0000197,PORT-0003,HASS,2024-12-31,3342.0,260.5313,870695.6,1487548.6,-616853.0,USD
LOT-0000198,PORT-0003,S10,2024-12-31,996.0,386.1984,384653.61,185288.77,199364.84,USD
LOT-0000199,PORT-0003,S10,2024-12-31,1053.0,387.4042,407936.62,218667.98,189268.64,USD
LOT-0000200,PORT-0003,S10,2024-12-31,156.0,386.4397,60284.59,17703.38,42581.21,USD
LOT-0000201,PORT-0003,P5,2024-12-31,2760.0,430.6704,1188650.3,78130.36,1110519.94,USD
LOT-0000202,PORT-0003,P5,2024-12-31,1577.0,430.9681,679636.69,497284.87,182351.82,USD
LOT-0000203,PORT-0003,P5,2024-12-31,166.0,430.3919,71445.06,54821.18,16623.88,USD
LOT-0000204,PORT-0003,P5,2024-12-31,442.0,429.286,189744.41,100649.59,89094.82,USD
LOT-0000205,PORT-0003,A2,2024-12-31,2858.0,293.5576,838987.62,243022.31,595965.31,USD
LOT-0000206,PORT-0003,A2,2024-12-31,452.0,292.144,132049.09,97734.6,34314.49,USD
LOT-0000207,PORT-0003,A2,2024-12-31,707.0,293.1123,207230.4,216879.89,-9649.49,USD
LOT-0000208,PORT-0003,A2,2024-12-31,2006.0,292.6663,587088.6,522917.06,64171.54,USD
LOT-0000209,PORT-0003,L1,2024-12-31,1058.0,303.3171,320909.49,114134.08,206775.41,USD
LOT-0000210,PORT-0003,L1,2024-12-31,1223.0,303.6161,371322.49,226721.82,144600.67,USD
LOT-0000211,PORT-0003,L1,2024-12-31,1081.0,303.0024,327545.59,273724.12,53821.47,USD
LOT-0000212,PORT-0003,SLL,2024-12-31,88.0,22.752,2002.18,10991.87,-8989.69,USD
LOT-0000213,PORT-0003,A5,2024-12-31,409.0,408.2763,166985.01,33980.05,133004.96,USD
LOT-0000214,PORT-0003,A5,2024-12-31,3727.0,409.0471,1524518.54,1358686.79,165831.75,USD
LOT-0000215,PORT-0003,A5,2024-12-31,1136.0,407.7711,463227.97,561691.0,-98463.03,USD
LOT-0000216,PORT-0003,A5,2024-12-31,4059.0,408.9713,1660014.51,1657928.59,2085.92,USD
LOT-0000217,PORT-0003,BAOS,2024-12-31,1419.0,250.1163,354915.03,571547.8,-216632.77,USD
LOT-0000218,PORT-0003,BAOS,2024-12-31,2253.0,250.0086,563269.38,962279.96,-399010.58,USD
LOT-0000219,PORT-0003,BAOS,2024-12-31,635.0,250.1072,158818.07,212752.94,-53934.87,USD
LOT-0000220,PORT-0003,FANA,2024-12-31,2421.0,275.5631,667138.27,134477.11,532661.16,USD
LOT-0000221,PORT-0003,BGA,2024-12-31,2145.0,428.9359,920067.51,442132.98,477934.53,USD
LOT-0000222,PORT-0003,BGA,2024-12-31,3314.0,427.341,1416208.07,1414511.64,1696.43,USD
LOT-0000223,PORT-0003,BGA,2024-12-31,647.0,428.6714,277350.4,59343.88,218006.52,USD
LOT-0000224,PORT-0003,P6,2024-12-31,2699.0,249.0387,672155.45,577190.87,94964.58,USD
LOT-0000225,PORT-0003,P6,2024-12-31,2753.0,248.7127,684706.06,618598.55,66107.51,USD
LOT-0000226,PORT-0003,P6,2024-12-31,3175.0,248.6028,789313.89,76581.0,712732.89,USD
LOT-0000227,PORT-0003,P6,2024-12-31,2352.0,248.2325,583842.84,580259.57,3583.27,USD
LOT-0000228,PORT-0003,YLS,2024-12-31,908.0,497.4475,451682.33,29533.97,422148.36,USD
LOT-0000229,PORT-0003,YLS,2024-12-31,2329.0,495.376,1153730.7,1014239.44,139491.26,USD
LOT-0000230,PORT-0003,P8,2024-12-31,2232.0,112.78,251724.96,977259.55,-725534.59,USD
LOT-0000231,PORT-0003,P8,2024-12-31,2086.0,113.1388,236007.54,118210.7,117796.84,USD
LOT-0000232,PORT-0003,C7,2024-12-31,1863.0,47.172,87881.44,624511.51,-536630.07,USD
LOT-0000233,PORT-0003,C7,2024-12-31,2605.0,47.1065,122712.43,738748.56,-616036.13,USD
LOT-0000234,PORT-0003,JLI,2024-12-31,1474.0,28.3257,41752.08,353688.66,-311936.58,USD
LOT-0000235,PORT-0003,JLI,2024-12-31,1261.0,28.4026,35815.68,316394.36,-280578.68,USD
LOT-0000236,PORT-0003,C,2024-12-31,1928.0,425.5764,820511.3,498186.33,322324.97,USD
LOT-0000237,PORT-0003,C,2024-12-31,2116.0,426.1582,901750.75,264817.4,636933.35,USD
LOT-0000238,PORT-0003,NAFC,2024-12-31,4280.0,72.8404,311756.91,705644.03,-393887.12,USD
LOT-0000239,PORT-0003,RGP,2024-12-31,1651.0,382.1269,630891.51,99547.38,531344.13,USD
LOT-0000240,PORT-0003,RGP,2024-12-31,3907.0,383.4882,1498288.4,1620214.54,-121926.14,USD
LOT-0000241,PORT-0003,RGP,2024-12-31,1563.0,382.9075,598484.42,248912.44,349571.98,USD
LOT-0000242,PORT-0003,HARL,2024-12-31,3782.0,395.1301,1494382.04,1567269.88,-72887.84,USD
LOT-0000243,PORT-0003,JAWC,2024-12-31,2311.0,400.2359,924945.16,657419.18,267525.98,USD
LOT-0000244,PORT-0003,DASI,2024-12-31,1668.0,105.1531,175395.37,96317.16,79078.21,USD
LOT-0000245,PORT-0003,DASI,2024-12-31,3118.0,104.6922,326430.28,1299093.19,-972662.91,USD
LOT-0000246,PORT-0003,S3,2024-12-31,589.0,254.7917,150072.31,113798.51,36273.8,USD
LOT-0000247,PORT-0003,MAMS,2024-12-31,503.0,36.3178,18267.85,182872.69,-164604.84,USD
LOT-0000248,PORT-0003,JAHA,2024-12-31,2599.0,337.0207,875916.8,179760.87,696155.93,USD
LOT-0000249,PORT-0003,JAHA,2024-12-31,2001.0,337.194,674725.19,786184.9,-111459.71,USD
LOT-0000250,PORT-0003,JAHA,2024-12-31,2678.0,336.4225,900939.46,87798.77,813140.69,USD
LOT-0000251,PORT-0003,RLI,2024-12-31,2715.0,215.925,586236.38,903127.92,-316891.54,USD
LOT-0000252,PORT-0003,RLI,2024-12-31,2879.0,216.2135,622478.67,34909.03,587569.64,USD
LOT-0000253,PORT-0003,RLI,2024-12-31,1860.0,216.2789,402278.75,783097.01,-380818.26,USD
LOT-0000254,PORT-0003,RLI,2024-12-31,863.0,216.2847,186653.7,301178.97,-114525.27,USD
LOT-0000255,PORT-0003,P11,2024-12-31,2865.0,36.8561,105592.73,572509.23,-466916.5,USD
LOT-0000256,PORT-0003,P11,2024-12-31,1730.0,36.9184,63868.83,764454.82,-700585.99,USD
