lot_id,account_id,security_id,acquisition_date,acquisition_price,original_quantity,remaining_quantity,cost_basis,source_system
LOT-0000122,ACC-0002,SEC-0047,2023-01-09,301.075,3107.0,2303.0,693375.72,DW
LOT-0000123,ACC-0002,SEC-0047,2024-09-29,221.3484,3303.0,2654.0,587458.65,DW
LOT-0000124,ACC-0002,SEC-0047,2022-06-26,86.9809,596.0,359.0,31226.14,DW
LOT-0000125,ACC-0002,SEC-0155,2020-11-14,463.5311,2747.0,2281.0,1057314.44,DW
LOT-0000126,ACC-0002,SEC-0155,2023-04-02,126.3987,343.0,270.0,34127.65,DW
LOT-0000127,ACC-0002,SEC-0155,2020-03-17,250.5647,367.0,184.0,46103.9,DW
LOT-0000128,ACC-0002,SEC-0082,2024-06-05,154.3292,3344.0,2676.0,412984.94,DW
LOT-0000129,ACC-0002,SEC-0082,2023-10-20,57.5236,1114.0,912.0,52461.52,DW
LOT-0000130,ACC-0002,SEC-0082,2024-06-17,242.0496,666.0,594.0,143777.46,DW
LOT-0000131,ACC-0002,SEC-0082,2022-04-12,249.6574,3339.0,1822.0,454875.78,DW
LOT-0000132,ACC-0002,SEC-0157,2022-10-12,191.0068,2284.0,1443.0,275622.81,DW
LOT-0000133,ACC-0002,SEC-0157,2022-04-24,139.0664,4202.0,3286.0,456972.19,DW
LOT-0000134,ACC-0002,SEC-0057,2024-01-27,378.5952,3371.0,1830.0,692829.22,DW
LOT-0000135,ACC-0002,SEC-0057,2022-12-28,406.0083,2129.0,1870.0,759235.52,DW
LOT-0000136,ACC-0002,SEC-0164,2022-10-01,411.0186,2151.0,1651.0,678591.71,DW
LOT-0000137,ACC-0002,SEC-0164,2020-01-22,468.8171,2906.0,1795.0,841526.69,DW
LOT-0000138,ACC-0002,SEC-0164,2023-03-30,48.688,4524.0,3878.0,188812.06,DW
LOT-0000139,ACC-0002,SEC-0145,2022-02-07,289.8978,2632.0,2068.0,599508.65,DW
LOT-0000140,ACC-0002,SEC-0145,2021-06-10,82.2494,4751.0,3442.0,283102.43,DW
LOT-0000141,ACC-0002,SEC-0145,2023-12-25,486.3608,4061.0,2287.0,1112307.15,DW
LOT-0000142,ACC-0002,SEC-0027,2022-06-24,108.9404,4131.0,2371.0,258297.69,DW
LOT-0000143,ACC-0002,SEC-0128,2021-08-01,136.3643,4563.0,4367.0,595502.9,DW
LOT-0000144,ACC-0002,SEC-0128,2024-07-17,52.6434,2826.0,2193.0,115446.98,DW
LOT-0000145,ACC-0002,SEC-0128,2020-02-12,145.3384,2345.0,2197.0,319308.46,DW
LOT-0000146,ACC-0002,SEC-0128,2020-07-05,353.2019,2979.0,2654.0,937397.84,DW
LOT-0000147,ACC-0002,SEC-0037,2021-09-28,298.0877,3816.0,3701.0,1103222.58,DW
LOT-0000148,ACC-0002,SEC-0037,2024-04-29,285.715,595.0,383.0,109428.84,DW
LOT-0000149,ACC-0002,SEC-0037,2021-12-01,441.2665,4402.0,2782.0,1227603.4,DW
LOT-0000150,ACC-0002,SEC-0085,2021-03-31,247.9365,3084.0,1600.0,396698.4,DW
LOT-0000151,ACC-0002,SEC-0085,2023-05-17,207.4572,3129.0,2630.0,545612.44,DW
LOT-0000152,ACC-0002,SEC-0085,2022-09-01,29.0034,4459.0,2969.0,86111.09,DW
LOT-0000153,ACC-0002,SEC-0020,2023-05-31,449.5454,199.0,181.0,81367.72,DW
LOT-0000154,ACC-0002,SEC-0020,2023-03-22,162.3652,4230.0,3930.0,638095.24,DW
LOT-0000155,ACC-0002,SEC-0020,2021-01-29,58.1265,4358.0,2472.0,143688.71,DW
LOT-0000156,ACC-0002,SEC-0061,2020-09-30,227.1242,4147.0,2632.0,597790.89,DW
LOT-0000157,ACC-0002,SEC-0061,2022-08-01,306.4398,538.0,388.0,118898.64,DW
LOT-0000158,ACC-0002,SEC-0061,2020-04-19,209.5135,2474.0,1876.0,393047.33,DW
LOT-0000159,ACC-0002,SEC-0061,2022-10-28,412.2985,2625.0,1521.0,627106.02,DW
LOT-0000160,ACC-0002,SEC-0089,2024-02-28,392.4531,2669.0,2093.0,821404.34,DW
LOT-0000161,ACC-0002,SEC-0089,2023-12-12,104.4541,4181.0,3840.0,401103.74,DW
LOT-0000162,ACC-0002,SEC-0196,2023-07-10,26.2048,348.0,237.0,6210.54,DW
LOT-0000163,ACC-0002,SEC-0196,2023-10-21,144.249,4135.0,3112.0,448902.89,DW
LOT-0000164,ACC-0002,SEC-0196,2021-05-10,462.306,3438.0,2135.0,987023.31,DW
LOT-0000165,ACC-0002,SEC-0196,2022-03-06,301.0814,970.0,907.0,273080.83,DW
LOT-0000166,ACC-0002,SEC-0043,2024-01-02,420.4503,1367.0,1251.0,525983.33,DW
LOT-0000167,ACC-0002,SEC-0043,2024-05-30,149.684,1994.0,1159.0,173483.76,DW
LOT-0000168,ACC-0002,SEC-0163,2021-09-17,392.1168,1150.0,702.0,275265.99,DW
LOT-0000169,ACC-0002,SEC-0163,2023-08-28,342.0707,1419.0,1000.0,342070.7,DW
LOT-0000170,ACC-0002,SEC-0023,2020-08-13,344.2779,2423.0,1372.0,472349.28,DW
LOT-0000171,ACC-0002,SEC-0023,2023-12-13,304.5596,141.0,88.0,26801.24,DW
LOT-0000172,ACC-0002,SEC-0023,2020-05-28,472.0724,3592.0,3070.0,1449262.27,DW
LOT-0000173,ACC-0002,SEC-0023,2023-05-18,217.6653,1945.0,1312.0,285576.87,DW
LOT-0000174,ACC-0002,SEC-0172,2023-07-04,116.9224,1581.0,1202.0,140540.72,DW
LOT-0000175,ACC-0002,SEC-0172,2021-06-03,204.6047,601.0,454.0,92890.53,DW
LOT-0000176,ACC-0002,SEC-0172,2021-03-16,483.5779,4213.0,3289.0,1590487.71,DW
LOT-0000177,ACC-0002,SEC-0193,2021-01-30,62.9712,413.0,411.0,25881.16,DW
LOT-0000178,ACC-0002,SEC-0193,2021-04-30,169.3172,1457.0,1206.0,204196.54,DW
LOT-0000179,ACC-0002,SEC-0086,2021-04-07,156.4076,835.0,737.0,115272.4,DW
LOT-0000180,ACC-0002,SEC-0086,2024-08-07,404.6606,4032.0,3226.0,1305435.1,DW
LOT-0000181,ACC-0002,SEC-0115,2020-11-15,22.4731,2537.0,1643.0,36923.3,DW
LOT-0000182,ACC-0002,SEC-0115,2022-07-28,208.2535,3710.0,2937.0,611640.53,DW
LOT-0000183,ACC-0002,SEC-0003,2021-09-17,409.8472,1782.0,1527.0,625836.67,DW
LOT-0000184,ACC-0003,SEC-0122,2020-01-21,343.5419,2696.0,1905.0,654447.32,DW
LOT-0000185,ACC-0003,SEC-0172,2023-10-18,177.9082,4937.0,4672.0,831187.11,DW
LOT-0000186,ACC-0003,SEC-0172,2022-05-09,80.1798,4326.0,2553.0,204699.03,DW
LOT-0000187,ACC-0003,SEC-0172,2024-06-19,248.9146,3192.0,1878.0,467461.62,DW
LOT-0000188,ACC-0003,SEC-0092,2021-05-12,38.4267,2315.0,1400.0,53797.38,DW
LOT-0000189,ACC-0003,SEC-0092,2020-07-31,92.6168,3846.0,2864.0,265254.52,DW
LOT-0000190,ACC-0003,SEC-0130,2021-06-22,222.5186,2204.0,1575.0,350466.79,DW
LOT-0000191,ACC-0003,SEC-0130,2022-03-30,197.825,285.0,171.0,33828.07,DW
LOT-0000192,ACC-0003,SEC-0130,2022-10-29,475.5336,4471.0,3927.0,1867420.45,DW
LOT-0000193,ACC-0003,SEC-0077,2021-12-10,103.3826,3416.0,2778.0,287196.86,DW
LOT-0000194,ACC-0003,SEC-0077,2023-07-11,120.8702,4397.0,2885.0,348710.53,DW
LOT-0000195,ACC-0003,SEC-0044,2023-03-16,91.8399,4137.0,2685.0,246590.13,DW
LOT-0000196,ACC-0003,SEC-0044,2023-04-16,233.4039,2649.0,2019.0,471242.47,DW
LOT-0000197,ACC-0003,SEC-0044,2022-06-27,445.1073,4978.0,3342.0,1487548.6,DW
LOT-0000198,ACC-0003,SEC-0169,2022-03-04,186.0329,1023.0,996.0,185288.77,DW
LOT-0000199,ACC-0003,SEC-0169,2020-05-14,207.6619,1219.0,1053.0,218667.98,DW
LOT-0000200,ACC-0003,SEC-0169,2024-03-08,113.4832,207.0,156.0,17703.38,DW
LOT-0000201,ACC-0003,SEC-0143,2020-06-23,28.3081,4395.0,2760.0,78130.36,DW
LOT-0000202,ACC-0003,SEC-0143,2021-12-02,315.336,3010.0,1577.0,497284.87,DW
LOT-0000203,ACC-0003,SEC-0143,2024-04-24,330.2481,197.0,166.0,54821.18,DW
LOT-0000204,ACC-0003,SEC-0143,2022-08-01,227.714,706.0,442.0,100649.59,DW
LOT-0000205,ACC-0003,SEC-0047,2020-12-25,85.0323,3506.0,2858.0,243022.31,DW
LOT-0000206,ACC-0003,SEC-0047,2023-03-26,216.227,595.0,452.0,97734.6,DW
LOT-0000207,ACC-0003,SEC-0047,2021-06-05,306.7608,772.0,707.0,216879.89,DW
LOT-0000208,ACC-0003,SEC-0047,2024-05-01,260.6765,3127.0,2006.0,522917.06,DW
LOT-0000209,ACC-0003,SEC-0076,2021-07-03,107.8772,1389.0,1058.0,114134.08,DW
LOT-0000210,ACC-0003,SEC-0076,2023-10-15,185.3817,2108.0,1223.0,226721.82,DW
LOT-0000211,ACC-0003,SEC-0076,2021-11-05,253.2138,1118.0,1081.0,273724.12,DW
LOT-0000212,ACC-0003,SEC-0025,2023-01-24,124.9076,162.0,88.0,10991.87,DW
LOT-0000213,ACC-0003,SEC-0121,2022-02-24,83.0808,541.0,409.0,33980.05,DW
LOT-0000214,ACC-0003,SEC-0121,2020-11-11,364.5524,4533.0,3727.0,1358686.79,DW
LOT-0000215,ACC-0003,SEC-0121,2022-05-11,494.4463,1551.0,1136.0,561691.0,DW
LOT-0000216,ACC-0003,SEC-0121,2024-05-11,408.4574,4383.0,4059.0,1657928.59,DW
LOT-0000217,ACC-0003,SEC-0033,2022-11-25,402.7821,1632.0,1419.0,571547.8,DW
LOT-0000218,ACC-0003,SEC-0033,2024-05-21,427.1105,4462.0,2253.0,962279.96,DW
LOT-0000219,ACC-0003,SEC-0033,2024-02-22,335.044,936.0,635.0,212752.94,DW
LOT-0000220,ACC-0003,SEC-0067,2020-10-22,55.5461,4093.0,2421.0,134477.11,DW
LOT-0000221,ACC-0003,SEC-0186,2022-09-03,206.1226,2337.0,2145.0,442132.98,DW
LOT-0000222,ACC-0003,SEC-0186,2021-01-19,426.8291,4020.0,3314.0,1414511.64,DW
LOT-0000223,ACC-0003,SEC-0186,2020-06-13,91.7216,749.0,647.0,59343.88,DW
LOT-0000224,ACC-0003,SEC-0144,2024-05-03,213.8536,2995.0,2699.0,577190.87,DW
LOT-0000225,ACC-0003,SEC-0144,2021-02-11,224.6998,3095.0,2753.0,618598.55,DW
LOT-0000226,ACC-0003,SEC-0144,2021-06-28,24.12,3454.0,3175.0,76581.0,DW
LOT-0000227,ACC-0003,SEC-0144,2024-03-09,246.709,2492.0,2352.0,580259.57,DW
LOT-0000228,ACC-0003,SEC-0192,2022-06-13,32.5264,1382.0,908.0,29533.97,DW
LOT-0000229,ACC-0003,SEC-0192,2020-12-20,435.4828,2672.0,2329.0,1014239.44,DW
LOT-0000230,ACC-0003,SEC-0175,2021-03-01,437.8403,2644.0,2232.0,977259.55,DW
LOT-0000231,ACC-0003,SEC-0175,2021-06-14,56.6686,3342.0,2086.0,118210.7,DW
LOT-0000232,ACC-0003,SEC-0086,2022-12-24,335.2182,3243.0,1863.0,624511.51,DW
LOT-0000233,ACC-0003,SEC-0086,2020-04-14,283.5887,4940.0,2605.0,738748.56,DW
LOT-0000234,ACC-0003,SEC-0168,2020-02-28,239.9516,2530.0,1474.0,353688.66,DW
LOT-0000235,ACC-0003,SEC-0168,2020-09-15,250.9075,1280.0,1261.0,316394.36,DW
LOT-0000236,ACC-0003,SEC-0023,2024-08-20,258.3954,2797.0,1928.0,498186.33,DW
LOT-0000237,ACC-0003,SEC-0023,2020-05-03,125.15,2350.0,2116.0,264817.4,DW
LOT-0000238,ACC-0003,SEC-0057,2022-05-31,164.8701,4905.0,4280.0,705644.03,DW
LOT-0000239,ACC-0003,SEC-0091,2024-10-26,60.2952,2120.0,1651.0,99547.38,DW
LOT-0000240,ACC-0003,SEC-0091,2024-12-01,414.6953,3980.0,3907.0,1620214.54,DW
LOT-0000241,ACC-0003,SEC-0091,2021-05-06,159.253,2591.0,1563.0,248912.44,DW
LOT-0000242,ACC-0003,SEC-0058,2022-11-18,414.4024,4101.0,3782.0,1567269.88,DW
LOT-0000243,ACC-0003,SEC-0079,2023-01-22,284.4739,3137.0,2311.0,657419.18,DW
LOT-0000244,ACC-0003,SEC-0108,2024-04-12,57.7441,3329.0,1668.0,96317.16,DW
LOT-0000245,ACC-0003,SEC-0108,2022-12-05,416.6431,4826.0,3118.0,1299093.19,DW
LOT-0000246,ACC-0003,SEC-0085,2021-12-28,193.2063,621.0,589.0,113798.51,DW
LOT-0000247,ACC-0003,SEC-0096,2020-10-03,363.564,624.0,503.0,182872.69,DW
LOT-0000248,ACC-0003,SEC-0187,2023-11-13,69.1654,4276.0,2599.0,179760.87,DW
LOT-0000249,ACC-0003,SEC-0187,2020-04-18,392.896,3612.0,2001.0,786184.9,DW
LOT-0000250,ACC-0003,SEC-0187,2022-08-06,32.7852,3203.0,2678.0,87798.77,DW
LOT-0000251,ACC-0003,SEC-0150,2022-05-10,332.6438,4785.0,2715.0,903127.92,DW
LOT-0000252,ACC-0003,SEC-0150,2022-02-14,12.1254,3707.0,2879.0,34909.03,DW
LOT-0000253,ACC-0003,SEC-0150,2022-06-29,421.0199,2466.0,1860.0,783097.01,DW
LOT-0000254,ACC-0003,SEC-0150,2023-12-05,348.9907,951.0,863.0,301178.97,DW
LOT-0000255,ACC-0003,SEC-0191,2024-05-03,199.8287,3043.0,2865.0,572509.23,DW
LOT-0000256,ACC-0003,SEC-0191,2022-02-03,441.8814,2151.0,1730.0,764454.82,DW
LOT-0000257,ACC-0003,SEC-0191,2021-01-13,383.5636,1441.0,1415.0,542742.49,DW
LOT-0000258,ACC-0003,SEC-0191,2023-04-09,231.8944,754.0,533.0,123599.72,DW
LOT-0000259,ACC-0003,SEC-0119,2023-03-30,423.1065,2784.0,1829.0,773861.79,DW
LOT-0000260,ACC-0003,SEC-0119,2020-10-14,468.4009,3200.0,1921.0,899798.13,DW
LOT-0000261,ACC-0003,SEC-0031,2021-06-02,360.0484,3464.0,3328.0,1198241.08,DW
LOT-0000262,ACC-0003,SEC-0189,2023-12-03,256.9078,3502.0,2315.0,594741.56,DW
LOT-0000263,ACC-0003,SEC-0189,2024-04-09,382.7798,2855.0,2259.0,864699.57,DW
LOT-0000264,ACC-0003,SEC-0189,2021-03-06,357.9606,3404.0,3223.0,1153707.01,DW
LOT-0000265,ACC-0003,SEC-0189,2021-12-04,150.1047,4252.0,3844.0,577002.47,DW
LOT-0000266,ACC-0003,SEC-0014,2021-12-27,62.1705,1966.0,1035.0,64346.47,DW
LOT-0000267,ACC-0003,SEC-0014,2024-08-08,107.9522,3776.0,2192.0,236631.22,DW
LOT-0000268,ACC-0003,SEC-0014,2023-04-25,344.8613,817.0,434.0,149669.8,DW
LOT-0000269,ACC-0003,SEC-0014,2020-07-09,154.6189,3793.0,1958.0,302743.81,DW
